 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	13.257	3.300	22.368	0.750	3.015	0.317	2.825	9
2	1.548	4.441	143.806	2.018	3.085	0.833	4.580	1
3	11.633	4.042	25.152	0.046	0.359	0.164	0.181	7
4	11.063	4.374	179.608	0.028	0.304	0.115	0.271	6
5	5.692	7.060	46.391	6.790	4.320	2.001	14.746	3
6	2.618	5.664	169.906	0.154	0.573	0.343	0.291	2
7	5.873	8.920	89.079	0.073	0.572	0.163	0.300	5
8	11.946	13.119	57.600	0.018	0.213	0.105	0.071	8
9	5.455	14.002	99.072	0.531	1.536	0.440	1.072	4
10	14.520	14.410	112.233	0.067	0.395	0.216	0.110	10
