 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
30	0.636	7.131	12.651	5.755	3.813	23.462	5.175	2.404	3.947	1.793	3.397	6.547	2.016	3.384	1.873	5.503	0.355	2.815	0.491	4.957	14.190	21.757	0.011	4.699	5.294	0.151
31	0.657	7.714	13.905	5.070	3.983	38.001	4.608	2.672	3.518	2.765	3.610	6.495	3.496	2.911	1.585	5.014	0.237	3.941	0.462	4.724	15.483	19.863	0.017	4.243	5.740	0.167
32	0.678	8.439	14.694	4.123	4.659	50.999	4.397	3.135	2.951	4.033	3.931	6.111	5.732	2.727	1.427	4.276	0.191	5.192	0.518	5.106	14.182	15.406	0.040	4.161	6.275	0.202
33	0.699	9.401	14.896	3.194	5.561	56.798	4.445	3.804	2.485	5.667	4.509	5.463	8.363	2.922	1.413	3.603	0.216	6.376	0.651	6.281	11.593	10.919	0.082	4.369	6.970	0.315
34	0.720	10.738	14.429	2.495	6.297	54.402	4.714	4.568	2.246	7.604	5.499	4.814	10.591	3.320	1.457	3.151	0.331	6.877	0.812	8.297	8.871	7.702	0.134	4.623	7.815	0.586
35	0.742	12.367	13.388	2.095	6.701	46.985	5.090	5.276	2.237	9.710	6.942	4.399	11.706	3.671	1.433	2.989	0.584	6.411	1.011	11.218	6.649	5.979	0.202	4.634	8.793	1.196
36	0.763	13.791	12.065	1.968	6.684	37.580	5.448	5.838	2.341	11.492	8.512	4.266	11.576	3.778	1.288	3.197	1.019	5.377	1.294	14.957	4.991	5.351	0.313	4.479	9.719	2.517
37	0.784	14.352	10.785	2.051	6.425	27.897	5.704	6.321	2.436	12.577	9.775	4.359	10.710	3.732	1.094	3.773	1.600	4.260	1.627	18.591	3.985	5.255	0.493	4.283	10.452	4.955
38	0.805	13.766	9.740	2.316	6.068	19.174	6.004	6.896	2.482	12.822	10.547	4.624	9.759	3.783	0.987	4.551	2.298	3.397	1.885	21.067	3.574	5.182	0.776	4.134	10.891	8.136
39	0.826	12.361	8.939	2.741	5.790	12.481	6.368	7.678	2.525	12.169	11.189	4.997	9.144	4.190	1.059	5.215	3.241	2.901	2.010	21.694	3.764	4.875	1.210	3.939	10.976	10.582
40	0.847	10.734	8.328	3.320	5.704	8.133	6.837	8.536	2.656	10.676	11.927	5.333	8.975	4.998	1.388	5.449	4.728	2.728	2.121	20.794	4.546	4.395	1.800	3.765	10.840	11.239
41	0.869	9.281	7.892	4.117	5.765	5.678	7.191	9.148	2.956	8.791	12.922	5.516	9.272	6.058	2.065	5.322	7.153	2.698	2.409	19.320	5.940	3.937	2.433	3.892	10.519	10.478
42	0.890	8.106	7.582	5.153	5.837	4.441	7.424	9.368	3.472	7.162	13.882	5.529	10.188	6.955	3.140	5.212	11.058	2.677	3.047	17.944	7.815	3.684	2.950	4.659	10.008	9.450
43	0.911	7.209	7.226	6.365	5.817	3.950	7.471	9.552	4.215	6.202	14.551	5.413	12.070	7.319	4.451	5.431	16.934	2.654	3.939	16.706	9.706	3.732	3.294	6.556	9.378	8.828
44	0.932	6.571	6.660	7.516	5.715	3.979	7.514	10.111	5.117	5.943	14.460	5.188	15.180	7.127	5.628	6.056	24.621	2.818	4.740	15.118	10.740	4.085	3.570	9.911	8.774	8.539
45	0.953	6.137	5.926	8.528	5.630	4.343	7.609	11.175	6.076	6.090	13.568	4.897	19.120	6.765	6.316	6.981	32.871	3.318	4.978	13.275	10.557	4.613	3.984	14.048	8.362	8.288
46	0.975	5.841	5.268	9.410	5.449	4.712	7.759	12.399	7.093	6.301	11.856	4.653	22.358	6.479	6.507	8.170	39.873	4.222	4.655	11.871	9.448	5.064	4.725	16.865	8.221	7.960
47	0.996	5.618	4.908	10.585	5.096	4.720	7.871	13.152	8.396	6.343	9.788	4.559	22.825	6.360	6.470	9.746	44.370	5.207	4.112	11.491	8.066	5.300	5.872	16.296	8.368	7.603
48	1.017	5.426	4.839	12.853	4.568	4.292	7.945	13.028	10.233	6.282	7.826	4.598	19.942	6.207	6.531	12.003	46.346	5.851	3.696	12.221	6.771	5.499	7.289	13.289	8.771	7.218
49	1.038	5.313	4.845	17.218	4.182	3.668	8.045	12.263	12.725	6.345	6.303	4.678	15.386	5.909	7.092	15.096	46.205	6.005	3.637	13.710	5.830	5.865	8.460	10.313	9.345	6.755
50	1.059	5.403	4.766	24.138	4.274	3.073	8.076	11.469	15.860	6.721	5.184	4.739	11.171	5.505	9.031	18.946	44.323	6.126	4.059	15.387	5.302	6.224	8.661	8.686	10.016	6.274
51	1.081	5.730	4.600	31.422	4.991	2.672	7.961	11.224	19.487	7.260	4.391	4.780	8.145	5.062	14.027	23.284	41.140	6.964	4.993	16.418	5.222	6.272	7.698	8.305	10.661	5.802
52	1.102	6.129	4.376	34.136	6.187	2.592	7.639	11.636	23.071	7.649	3.897	4.831	6.059	4.737	24.002	27.126	37.290	9.213	6.341	16.113	5.354	6.009	6.263	8.654	11.245	5.344
