 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
48	1.431	2.569	0.041	0.060	1.989	1.981	1.113	0.035	9.646E-5	0.067	3.440	0.000	0.124	4.908	0.045	0.000
49	1.461	2.426	0.026	0.039	2.263	2.245	0.598	0.019	0.002	0.008	3.254	0.000	0.089	5.007	0.042	0.000
50	1.491	2.632	0.027	0.007	2.266	2.507	0.436	0.026	0.013	2.774E-4	2.914	0.000	0.082	4.916	0.106	0.000
51	1.521	3.357	0.037	9.230E-4	1.938	2.777	0.396	0.014	0.013	4.749E-6	2.647	0.000	0.081	4.755	0.216	0.000
52	1.551	4.294	0.016	0.002	1.632	3.057	0.358	0.002	0.002	2.102E-4	2.121	0.000	0.067	4.658	0.214	0.000
53	1.580	5.168	0.001	0.011	1.595	3.254	0.214	1.848E-5	4.985E-5	0.005	1.231	0.000	0.056	4.581	0.091	0.000
54	1.610	5.638	1.796E-5	0.061	1.873	3.282	0.047	7.484E-8	1.152E-7	0.029	0.501	0.000	0.074	4.228	0.025	0.000
55	1.640	5.073	1.765E-8	0.169	2.340	3.217	0.002	0.000	0.000	0.077	0.170	0.000	0.135	3.334	0.016	0.000
56	1.670	3.708	0.000	0.074	2.667	3.123	4.871E-6	0.000	0.000	0.104	0.066	0.000	0.210	2.069	0.017	0.000
57	1.700	2.002	0.000	0.001	2.798	2.941	0.000	0.000	0.000	0.065	0.021	0.000	0.183	0.988	0.017	0.000
58	1.729	0.833	0.000	3.235E-8	2.898	2.809	0.000	0.000	0.000	0.018	0.003	0.000	0.019	0.395	0.011	0.000
59	1.759	0.387	0.000	0.000	2.840	2.914	0.000	0.000	0.000	0.029	1.812E-4	0.000	0.007	0.169	0.001	0.000
60	1.789	0.163	0.000	0.000	2.383	3.078	0.000	0.000	0.000	0.033	1.628E-6	0.000	0.005	0.078	1.592E-5	0.000
61	1.819	0.062	0.000	0.000	0.920	2.979	0.000	0.000	0.000	0.007	2.507E-10	0.000	0.001	0.025	0.000	0.000
62	1.849	0.031	0.000	0.000	0.062	2.692	0.000	0.000	0.000	2.339E-4	0.000	0.000	3.922E-5	0.004	0.000	0.000
63	1.879	0.031	0.000	0.000	0.000	2.490	0.000	0.000	0.000	0.000	0.000	0.000	1.411E-7	0.003	0.000	0.000
64	1.908	0.049	0.000	0.000	0.000	2.311	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000
65	1.938	0.037	0.000	0.000	0.000	1.999	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000
66	1.968	0.006	0.000	0.000	0.000	1.716	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.138E-4	0.000	0.000
67	1.998	1.780E-4	0.000	0.000	0.000	1.575	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000
68	2.028	1.205E-6	0.000	0.000	0.000	1.425	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000
