 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
47	1.401	3.201	0.080	0.051	1.493	2.060	1.070	0.068	6.855E-4	3.408E-4	0.785	2.047E-4	0.063	4.462	0.184	0.000
48	1.431	3.158	0.074	0.086	1.697	1.758	0.522	0.013	2.684E-6	3.413E-6	0.365	1.472E-6	0.007	4.456	0.213	0.000
49	1.461	3.026	0.043	0.051	1.696	1.844	0.200	0.001	0.000	0.000	0.227	0.000	2.392E-4	4.194	0.525	0.000
50	1.491	3.357	0.023	0.009	1.415	2.232	0.117	3.992E-5	0.000	0.000	0.202	0.000	9.890E-7	3.857	1.166	0.000
51	1.521	4.494	0.004	0.001	1.065	2.598	0.123	2.520E-7	0.000	1.461E-6	0.117	0.000	0.000	3.900	1.276	0.000
52	1.551	6.115	1.397E-4	0.003	0.914	2.654	0.169	0.000	0.000	4.794E-4	0.027	0.000	0.000	4.010	0.567	0.000
53	1.580	7.592	2.549E-7	0.018	1.207	2.506	0.159	0.000	0.000	0.013	0.002	0.000	0.000	3.250	0.137	0.000
54	1.610	8.318	0.000	0.090	2.097	2.418	0.090	0.000	0.000	0.104	4.874E-5	0.000	0.000	1.663	0.036	0.000
55	1.640	7.937	0.000	0.235	3.172	2.461	0.012	0.000	0.000	0.311	1.791E-7	0.000	0.000	0.485	0.026	0.000
56	1.670	6.162	0.000	0.092	3.697	2.573	3.000E-4	0.000	0.000	0.569	0.000	0.000	0.000	0.079	0.042	0.000
57	1.700	3.636	0.000	3.742E-4	3.623	2.543	3.744E-8	0.000	0.000	0.404	0.000	0.000	0.000	0.013	0.035	0.000
58	1.729	1.539	0.000	0.000	3.357	2.360	0.000	0.000	0.000	0.123	0.000	0.000	0.000	0.019	0.006	0.000
59	1.759	0.536	0.000	0.000	3.030	2.424	0.000	0.000	0.000	0.126	0.000	0.000	0.000	0.043	1.953E-4	0.000
60	1.789	0.201	0.000	0.000	2.523	2.895	0.000	0.000	0.000	0.186	0.000	0.000	0.000	0.030	0.000	0.000
61	1.819	0.094	0.000	0.000	0.861	3.226	0.000	0.000	0.000	0.061	0.000	0.000	0.000	0.003	0.000	0.000
62	1.849	0.055	0.000	0.000	0.045	3.027	0.000	0.000	0.000	0.003	0.000	0.000	0.000	3.376E-5	0.000	0.000
63	1.879	0.036	0.000	0.000	0.000	2.488	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.514E-8	0.000	0.000
64	1.908	0.036	0.000	0.000	0.000	1.742	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
65	1.938	0.054	0.000	0.000	0.000	0.991	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
66	1.968	0.037	0.000	0.000	0.000	0.422	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
67	1.998	0.005	0.000	0.000	0.000	0.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68	2.028	1.645E-4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
