 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
47	1.401	3.019	0.038	0.037	1.485	1.862	0.762	0.077	4.749E-4	0.131	2.245	0.008	0.692	3.829	0.071	0.000
48	1.431	3.157	0.036	0.061	1.777	1.898	0.290	0.012	2.137E-4	0.091	2.210	4.630E-4	0.556	4.035	0.042	0.000
49	1.461	3.359	0.030	0.037	2.002	2.126	0.107	0.001	0.004	0.019	2.032	1.096E-5	0.433	4.129	0.094	0.000
50	1.491	3.994	0.025	0.007	1.862	2.449	0.051	3.101E-5	0.015	7.745E-4	1.466	2.673E-9	0.311	4.194	0.205	0.000
51	1.521	4.677	0.009	8.709E-4	1.437	2.717	0.071	8.008E-7	0.011	1.383E-5	0.845	0.000	0.209	4.317	0.222	0.000
52	1.551	4.810	7.046E-4	0.002	1.184	2.821	0.117	0.000	0.001	9.764E-5	0.382	0.000	0.152	4.458	0.107	0.000
53	1.580	4.858	3.876E-6	0.013	1.305	2.835	0.116	0.000	1.395E-5	0.002	0.134	0.000	0.131	4.391	0.029	0.000
54	1.610	5.120	5.001E-8	0.065	1.710	2.848	0.065	0.000	4.840E-8	0.021	0.053	0.000	0.147	3.784	0.011	0.000
55	1.640	5.061	0.000	0.168	2.143	2.938	0.016	0.000	0.000	0.061	0.032	0.000	0.205	2.644	0.008	0.000
56	1.670	4.383	0.000	0.066	2.303	3.078	3.751E-4	0.000	0.000	0.110	0.017	0.000	0.275	1.498	0.015	0.000
57	1.700	3.096	0.000	2.675E-4	2.242	3.062	4.680E-8	0.000	0.000	0.078	0.004	0.000	0.160	0.752	0.014	0.000
58	1.729	1.605	0.000	0.000	2.064	2.829	0.000	0.000	0.000	0.024	3.343E-4	0.000	0.022	0.359	0.003	0.000
59	1.759	0.670	0.000	0.000	1.824	2.641	0.000	0.000	0.000	0.024	5.935E-6	0.000	6.525E-4	0.169	9.052E-5	0.000
60	1.789	0.309	0.000	0.000	1.492	2.534	0.000	0.000	0.000	0.036	0.000	0.000	5.754E-4	0.074	0.000	0.000
61	1.819	0.125	0.000	0.000	0.576	2.212	0.000	0.000	0.000	0.012	0.000	0.000	6.480E-7	0.032	0.000	0.000
62	1.849	0.049	0.000	0.000	0.021	1.871	0.000	0.000	0.000	6.072E-4	0.000	0.000	0.000	0.013	0.000	0.000
63	1.879	0.030	0.000	0.000	0.000	1.708	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000
64	1.908	0.037	0.000	0.000	0.000	1.546	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000
65	1.938	0.053	0.000	0.000	0.000	1.220	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000
66	1.968	0.028	0.000	0.000	0.000	0.855	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.920E-4	0.000	0.000
67	1.998	0.003	0.000	0.000	0.000	0.605	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.550E-4	0.000	0.000
68	2.028	7.430E-5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000
