 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
47	1.401	2.827	0.014	0.022	1.745	2.134	2.319	0.163	9.280E-4	0.003	6.333	2.669E-8	0.004	4.685	0.132	0.000
48	1.431	2.705	0.002	0.049	2.401	2.593	1.437	0.028	3.214E-4	7.166E-4	6.542	0.000	0.027	5.331	0.024	0.000
49	1.461	2.133	0.004	0.043	2.981	3.041	0.873	0.009	0.007	7.071E-5	5.727	0.000	0.027	5.741	0.001	0.000
50	1.491	1.837	0.024	0.010	2.988	3.499	0.621	0.014	0.044	3.871E-7	3.552	0.000	0.038	5.702	1.260E-5	0.000
51	1.521	2.146	0.040	0.001	2.172	3.943	0.496	0.007	0.042	0.000	1.673	0.000	0.035	5.393	0.000	0.000
52	1.551	3.275	0.018	0.003	1.383	4.343	0.368	0.001	0.006	0.000	0.628	0.000	0.006	5.282	0.000	0.000
53	1.580	4.923	9.182E-4	0.016	1.230	4.497	0.171	1.867E-5	2.106E-4	0.000	0.180	0.000	4.601E-4	5.517	0.000	0.000
54	1.610	6.323	1.926E-5	0.082	1.732	4.395	0.038	7.730E-8	9.724E-7	0.000	0.085	0.000	6.522E-5	5.428	6.770E-8	0.000
55	1.640	6.714	0.000	0.235	2.494	4.317	0.002	0.000	0.000	0.000	0.053	0.000	2.500E-4	4.176	2.329E-6	0.000
56	1.670	5.887	0.000	0.103	2.728	4.218	3.897E-6	0.000	0.000	0.000	0.023	0.000	0.005	2.332	1.282E-5	0.000
57	1.700	3.767	0.000	0.002	2.338	3.865	0.000	0.000	0.000	0.000	0.004	0.000	0.026	0.965	5.788E-4	0.000
58	1.729	1.702	0.000	4.529E-8	1.991	3.432	0.000	0.000	0.000	0.000	1.390E-4	0.000	0.018	0.324	1.110E-4	0.000
59	1.759	0.835	0.000	0.000	1.904	3.028	0.000	0.000	0.000	0.000	7.712E-7	0.000	0.000	0.119	2.333E-5	0.000
60	1.789	0.343	0.000	0.000	1.954	2.563	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.055	9.702E-7	0.000
61	1.819	0.117	0.000	0.000	1.208	2.201	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.000	0.000
62	1.849	0.057	0.000	0.000	0.068	2.239	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.630E-4	0.000	0.000
63	1.879	0.061	0.000	0.000	0.000	2.593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.345E-5	0.000	0.000
64	1.908	0.081	0.000	0.000	0.000	2.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.021E-9	0.000	0.000
65	1.938	0.055	0.000	0.000	0.000	2.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
66	1.968	0.007	0.000	0.000	0.000	1.831	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
67	1.998	1.435E-6	0.000	0.000	0.000	1.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68	2.028	0.000	0.000	0.000	0.000	0.860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
