 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
30	0.636	4.364	10.966	5.124	3.883	27.842	5.737	2.464	5.016	2.085	4.429	3.364	2.028	2.450	1.462	6.417	0.368	2.824	0.474	4.832	9.522	18.820	3.242E-4	4.081	10.520	0.062
31	0.657	4.738	12.411	4.573	4.451	45.888	5.179	2.283	4.609	3.538	5.019	3.436	3.808	1.954	1.272	5.728	0.263	3.647	0.677	5.575	14.908	12.967	0.002	3.789	8.929	0.058
32	0.678	5.038	14.772	3.868	5.429	62.114	4.828	2.442	3.926	5.481	6.126	3.597	6.800	1.716	1.191	4.801	0.234	4.574	1.052	7.087	18.502	8.448	0.012	4.251	7.228	0.058
33	0.699	5.045	17.463	3.196	6.455	69.284	4.492	2.982	3.124	7.519	7.835	3.852	10.687	1.720	1.239	3.937	0.287	5.358	1.495	9.582	19.424	5.706	0.037	5.247	6.222	0.072
34	0.720	4.884	19.400	2.724	7.075	66.123	4.216	3.823	2.443	9.441	10.409	4.231	14.475	1.880	1.367	3.387	0.448	5.627	1.776	13.359	17.908	4.279	0.083	6.106	5.918	0.120
35	0.742	4.818	19.726	2.499	6.930	56.472	4.076	4.748	2.034	11.180	14.078	4.667	17.115	2.083	1.432	3.136	0.755	5.193	1.827	18.647	14.665	3.648	0.170	6.155	6.061	0.230
36	0.763	4.964	18.340	2.471	6.225	44.365	4.275	5.525	1.908	13.096	18.625	4.958	17.953	2.232	1.313	3.217	1.201	4.379	1.831	24.999	10.950	3.441	0.329	5.193	6.497	0.424
37	0.784	5.323	15.868	2.608	5.548	32.321	4.692	6.072	1.998	15.624	22.741	4.973	17.189	2.325	1.074	3.501	1.725	3.527	1.954	31.162	7.912	3.443	0.549	3.937	6.987	0.763
38	0.805	5.945	13.201	2.852	5.300	22.032	5.249	6.467	2.311	18.312	24.840	4.810	15.703	2.431	0.905	3.800	2.315	2.945	2.217	34.900	5.954	3.531	0.766	2.967	7.204	1.439
39	0.826	6.891	10.997	3.189	5.518	14.496	5.971	6.869	2.869	19.787	24.714	4.741	14.369	2.656	0.921	3.968	3.110	2.678	2.649	35.106	5.098	3.591	0.928	2.506	6.999	2.832
40	0.847	7.985	9.528	3.548	5.989	9.707	6.990	7.442	3.566	18.695	23.533	4.857	13.548	3.059	1.170	4.085	4.360	2.730	3.257	32.229	5.237	3.553	1.043	2.454	6.506	5.191
41	0.869	8.726	8.749	3.893	6.247	6.917	8.159	8.145	4.148	15.395	22.875	5.015	13.277	3.632	1.678	4.235	6.426	2.923	3.991	27.580	6.498	3.469	1.159	2.811	6.047	8.193
42	0.890	8.712	8.490	4.316	6.118	5.307	9.113	8.745	4.303	11.618	23.178	4.995	13.739	4.214	2.448	4.492	9.841	3.085	4.653	22.898	8.889	3.412	1.318	3.802	5.691	11.007
43	0.911	8.135	8.494	4.892	5.726	4.331	9.342	9.081	4.148	8.766	23.691	4.753	15.603	4.638	3.348	4.806	15.182	3.153	5.224	18.936	11.804	3.354	1.543	5.956	5.459	13.170
44	0.932	7.535	8.387	5.786	5.311	3.736	8.842	9.351	3.950	7.122	23.019	4.492	19.813	5.020	4.134	5.096	22.617	3.175	5.529	16.028	13.741	3.239	1.853	9.935	5.325	14.572
45	0.953	7.292	7.822	6.883	4.950	3.431	8.087	9.871	3.990	6.507	20.334	4.426	26.919	5.468	4.564	5.233	31.398	3.332	5.516	14.278	13.581	3.167	2.284	15.496	5.188	14.637
46	0.975	7.453	6.811	8.072	4.615	3.376	7.664	10.477	4.496	6.500	15.978	4.619	35.395	5.980	4.661	5.169	39.899	3.696	5.274	13.737	11.687	3.359	2.870	20.526	5.197	13.770
47	0.996	7.751	5.748	9.368	4.348	3.482	7.800	10.490	5.703	6.664	11.409	4.962	41.032	6.260	4.652	5.033	46.678	4.218	5.028	14.445	9.238	4.032	3.616	21.828	5.429	12.465
48	1.017	7.783	5.009	11.218	4.411	3.554	8.367	9.485	7.697	6.664	7.801	5.263	39.667	6.198	4.828	5.194	50.816	4.616	4.940	16.296	7.201	5.168	4.506	19.153	5.874	11.159
49	1.038	7.407	4.709	14.531	5.064	3.378	8.983	7.914	10.279	6.471	5.487	5.446	31.652	5.837	5.697	6.269	51.874	4.848	5.131	18.941	5.754	6.302	5.463	15.375	6.529	10.144
50	1.059	6.854	4.744	19.983	6.523	2.903	9.195	6.593	13.108	6.262	4.221	5.533	21.553	5.250	8.323	9.251	49.845	5.191	5.577	21.577	4.824	6.809	6.252	12.726	7.450	9.328
51	1.081	6.412	4.875	26.539	8.549	2.324	8.780	5.927	16.073	6.138	3.664	5.535	13.459	4.649	14.770	14.898	45.284	6.067	6.197	22.849	4.216	6.526	6.551	11.723	8.834	8.714
52	1.102	6.185	4.773	30.312	10.455	1.896	7.984	5.948	19.170	6.172	3.518	5.442	8.258	4.083	27.525	21.659	39.520	7.727	6.814	22.044	3.709	5.793	6.350	11.758	10.915	8.215
53	1.123	6.085	4.242	26.931	11.508	1.760	7.147	6.665	22.072	6.401	3.583	5.293	5.130	3.663	45.033	23.873	33.939	10.233	7.237	19.326	3.295	5.040	6.124	11.906	13.400	7.817
54	1.144	5.908	3.472	18.086	11.755	1.967	6.477	8.022	23.861	6.695	3.722	5.165	3.191	3.401	56.789	18.416	29.307	12.973	7.220	15.931	2.984	4.466	6.380	11.431	14.898	7.608
55	1.165	5.506	2.851	9.564	11.628	2.598	6.002	9.864	23.504	6.815	3.796	5.186	1.982	3.273	52.056	10.001	25.786	14.715	6.751	13.194	2.915	4.164	7.139	10.224	13.574	7.696
56	1.186	4.950	2.634	4.610	11.618	3.784	5.717	11.886	20.776	6.462	3.659	5.431	1.259	3.229	34.346	4.200	23.046	13.978	5.971	11.484	3.189	4.238	7.738	8.710	9.613	8.108
57	1.208	4.471	2.929	2.440	12.225	5.513	5.598	13.915	16.463	5.716	3.222	5.983	0.860	3.193	17.318	1.651	20.730	10.793	5.178	10.635	3.753	4.867	7.468	7.586	5.374	8.635
58	1.229	4.264	3.831	1.617	13.669	7.358	5.649	16.171	12.070	5.000	2.501	6.848	0.656	3.171	7.496	0.700	18.761	6.774	4.610	10.170	4.409	6.268	6.512	7.173	2.474	8.790
59	1.250	4.445	5.434	1.284	16.187	8.555	6.018	19.021	8.785	4.662	1.785	7.681	0.577	3.165	3.321	0.349	17.211	3.562	4.417	9.723	4.896	8.485	5.591	7.776	0.998	8.113
60	1.271	5.114	7.764	1.078	18.919	8.470	7.014	22.463	6.959	4.760	1.252	8.237	0.549	3.113	1.726	0.195	16.252	1.692	4.696	8.843	5.097	10.991	5.116	9.625	0.367	6.706
61	1.292	6.351	10.705	0.897	19.984	7.230	9.456	26.176	6.402	4.918	0.902	8.389	0.508	3.064	1.059	0.120	16.000	0.801	5.538	7.402	5.135	12.593	5.097	12.550	0.143	5.106
62	1.314	8.104	13.948	0.734	17.675	5.563	14.815	29.591	6.700	5.059	0.640	8.094	0.412	3.237	0.711	0.089	16.470	0.437	7.078	5.834	5.145	12.169	5.376	15.277	0.083	3.847
63	1.335	10.146	17.041	0.595	12.515	4.195	25.500	32.197	7.267	4.933	0.405	7.482	0.302	3.761	0.502	0.086	17.594	0.296	9.383	4.317	5.273	9.749	5.744	15.857	0.081	3.137
64	1.356	12.230	19.615	0.473	7.257	3.394	43.990	33.685	7.353	4.765	0.230	6.823	0.235	4.390	0.369	0.106	19.117	0.222	11.999	2.973	5.617	6.522	5.882	12.811	0.115	2.855
