 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
30	0.636	5.212	14.605	5.635	3.809	22.963	4.971	2.773	3.776	1.811	3.891	7.374	1.692	3.448	1.730	4.532	0.335	2.425	0.490	5.359	14.766	23.359	0.014	4.560	5.407	0.192
31	0.657	5.562	15.149	5.001	4.092	37.335	3.718	3.049	3.327	2.497	3.581	7.200	2.342	2.991	1.521	4.933	0.246	3.766	0.530	4.853	16.556	22.032	0.024	4.200	6.084	0.134
32	0.678	6.195	14.780	4.093	4.863	50.342	3.166	3.592	2.777	3.413	2.985	6.703	3.534	2.811	1.398	5.230	0.228	4.952	0.632	5.030	14.704	17.372	0.056	4.213	6.660	0.089
33	0.699	7.228	13.487	3.158	5.812	56.018	3.081	4.304	2.351	4.716	2.436	5.830	5.258	2.990	1.396	5.317	0.276	5.964	0.825	5.987	11.285	12.322	0.106	4.509	7.191	0.089
34	0.720	8.509	11.607	2.439	6.513	53.521	3.229	5.083	2.159	6.458	2.068	4.823	6.877	3.394	1.454	5.087	0.409	6.357	1.035	7.842	8.248	8.503	0.153	4.793	7.812	0.177
35	0.742	9.564	9.743	2.021	6.858	46.118	3.498	5.882	2.172	8.520	1.897	4.042	7.491	3.840	1.445	4.770	0.666	5.968	1.235	10.670	6.123	6.291	0.197	4.837	8.661	0.558
36	0.763	9.923	8.470	1.882	6.797	36.981	3.751	6.712	2.280	10.248	1.941	3.728	6.941	4.185	1.302	4.665	1.065	5.039	1.503	14.182	4.701	5.310	0.257	4.609	9.693	1.901
37	0.784	9.499	7.957	1.954	6.533	27.688	4.010	7.624	2.368	11.135	2.304	4.031	5.998	4.442	1.100	4.971	1.575	4.048	1.856	17.851	3.854	5.002	0.365	4.376	10.738	5.101
38	0.805	8.548	7.938	2.204	6.179	19.239	4.396	8.724	2.393	10.729	3.175	4.908	5.346	4.807	0.994	5.612	2.206	3.287	2.163	20.325	3.540	4.870	0.578	4.171	11.740	9.867
39	0.826	7.390	7.914	2.595	5.845	12.584	5.038	10.061	2.417	9.326	4.785	6.036	5.216	5.455	1.097	6.250	3.117	2.869	2.337	20.902	3.788	4.612	0.974	3.941	12.847	13.384
40	0.847	6.286	7.541	3.124	5.658	8.137	6.040	11.359	2.528	7.603	7.182	6.964	5.567	6.422	1.504	6.417	4.565	2.758	2.511	19.847	4.594	4.190	1.561	3.735	14.240	12.821
41	0.869	5.452	6.878	3.823	5.566	5.531	7.248	12.060	2.813	6.141	10.125	7.567	6.328	7.390	2.301	6.255	6.893	2.801	2.884	18.001	5.954	3.732	2.219	3.805	15.697	9.708
42	0.890	5.017	6.178	4.778	5.510	4.148	8.219	11.821	3.346	5.237	12.775	8.040	7.600	7.989	3.483	6.162	10.571	2.824	3.628	16.108	7.628	3.422	2.784	4.563	16.492	6.803
43	0.911	4.926	5.538	5.977	5.472	3.457	8.747	11.039	4.083	4.993	14.511	8.413	9.706	7.997	4.834	6.434	15.968	2.826	4.650	14.379	9.166	3.413	3.204	6.414	16.009	5.145
44	0.932	4.939	4.912	7.228	5.491	3.143	8.843	10.260	4.958	5.214	14.889	8.363	12.858	7.705	5.975	7.292	23.002	2.927	5.514	12.853	9.963	3.744	3.584	9.701	14.345	4.601
45	0.953	4.778	4.325	8.397	5.588	3.062	8.908	9.804	5.883	5.595	14.172	7.723	16.413	7.484	6.652	8.512	30.735	3.343	5.634	11.597	9.768	4.280	4.143	13.860	12.603	4.734
46	0.975	4.357	3.944	9.447	5.564	3.099	8.918	9.695	6.902	5.782	12.793	6.816	18.695	7.605	6.918	9.813	37.572	4.115	5.115	11.008	8.991	4.771	5.128	16.619	11.678	5.102
47	0.996	3.871	3.868	10.791	5.278	3.129	8.870	9.739	8.249	5.586	11.146	6.073	18.219	7.849	7.017	10.896	42.405	5.102	4.431	11.372	8.029	5.113	6.702	16.159	11.936	5.386
48	1.017	3.598	4.000	13.249	4.713	3.085	8.618	9.748	10.145	5.266	9.572	5.627	15.544	7.895	7.199	11.729	44.942	5.907	3.958	12.623	7.017	5.513	8.707	13.250	13.097	5.463
49	1.038	3.708	4.115	17.880	4.243	2.966	8.397	9.885	12.718	5.083	8.156	5.307	12.377	7.455	7.818	12.605	45.284	6.327	3.858	14.396	6.167	6.126	10.371	10.348	14.281	5.352
50	1.059	4.229	4.092	25.084	4.213	2.830	8.282	10.432	15.951	5.161	7.094	4.904	9.847	6.595	9.722	14.202	43.747	6.615	4.202	16.233	5.587	6.673	10.602	8.758	14.479	5.154
51	1.081	5.042	4.008	32.682	4.809	2.812	8.401	11.685	19.667	5.367	6.382	4.413	8.059	5.730	14.750	17.025	40.559	7.297	4.993	17.267	5.378	6.777	9.144	8.396	13.108	4.807
52	1.102	5.844	4.021	35.526	5.924	3.050	8.564	13.645	23.388	5.585	6.083	4.014	6.591	5.029	25.049	20.879	36.514	8.977	6.130	17.228	5.358	6.478	7.047	8.674	10.713	4.252
53	1.123	6.307	4.235	29.848	7.088	3.642	8.634	15.980	25.986	5.704	6.128	3.941	5.133	4.631	39.444	23.605	32.525	12.063	7.267	16.242	5.264	6.064	5.512	9.054	8.315	3.615
54	1.144	6.381	4.576	19.128	7.892	4.561	8.519	18.159	26.099	5.592	6.641	4.318	3.687	4.444	49.695	22.050	29.200	16.056	7.982	14.831	4.950	5.699	4.995	9.042	6.508	3.015
55	1.165	6.232	4.733	9.904	8.353	5.650	8.227	19.691	23.631	5.192	7.749	5.158	2.464	4.241	46.127	15.803	26.599	19.651	7.990	13.961	4.542	5.402	5.331	8.629	5.394	2.602
56	1.186	6.046	4.497	4.788	8.589	6.671	7.857	20.380	19.336	4.731	9.976	6.302	1.577	3.898	31.377	8.725	24.367	20.576	7.385	14.048	4.367	5.232	5.906	7.948	4.760	2.532
57	1.208	6.048	4.044	2.565	9.042	7.350	7.533	20.606	14.477	4.421	13.279	7.317	0.957	3.447	16.444	3.983	22.161	17.949	6.469	15.083	4.515	5.362	5.997	7.338	4.445	2.874
