 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
35	1.044	8.400	9.878	3.438	8.089	6.340	6.110	6.334	3.485	7.947	3.530	8.905	4.175	3.399	2.192	9.731	7.703	4.434	2.922	4.585	3.702	2.097
36	1.073	11.283	10.567	4.380	8.101	5.805	6.502	6.659	3.411	9.180	3.335	10.663	3.972	3.999	2.350	11.393	7.691	4.496	3.327	4.155	3.507	2.033
37	1.103	8.211	11.097	6.656	8.124	5.382	6.891	7.647	3.777	8.812	2.665	10.834	3.864	4.826	2.448	11.869	7.342	4.077	3.958	3.512	2.839	1.671
38	1.133	4.108	11.358	5.494	7.651	4.919	6.868	8.152	4.139	7.366	2.080	9.015	3.940	4.502	2.528	11.129	7.066	3.153	4.399	2.391	2.246	1.295
39	1.163	0.000	11.200	5.494	7.205	4.362	6.341	7.559	4.158	6.148	1.897	6.341	4.262	3.402	3.058	10.490	7.679	2.395	4.567	1.513	2.151	1.213
40	1.193	0.000	10.854	0.000	7.120	3.920	5.297	6.486	3.763	5.565	2.006	3.845	4.575	2.941	4.126	10.724	9.709	2.206	4.699	1.304	2.452	1.624
41	1.223	0.000	10.901	0.000	7.089	3.785	3.963	5.621	3.138	5.324	2.216	2.030	4.579	3.281	5.605	11.342	12.654	2.692	4.924	1.821	2.388	2.427
42	1.252	0.000	11.220	0.000	7.078	3.896	2.629	5.211	2.375	5.411	2.373	1.002	3.978	3.742	7.365	11.780	15.144	3.774	4.994	2.837	1.518	3.196
43	1.282	0.000	11.242	0.000	7.374	3.759	1.667	5.398	1.975	5.746	2.504	0.438	3.367	3.614	9.715	11.518	16.042	4.982	5.119	3.337	0.658	3.486
44	1.312	0.000	10.823	0.000	8.018	3.206	1.032	6.102	2.251	5.786	2.819	0.158	3.328	2.977	12.506	10.534	16.119	5.563	4.765	2.831	0.249	3.123
45	1.342	0.000	10.229	0.000	8.627	2.778	0.741	6.562	3.208	5.153	3.430	0.077	3.934	2.269	14.804	9.552	16.167	5.618	3.815	2.494	0.098	2.470
46	1.372	0.000	9.623	0.000	8.863	2.910	0.624	6.020	4.035	4.300	4.132	0.111	4.700	1.688	16.525	9.092	15.785	5.340	2.378	3.395	0.099	2.118
47	1.401	0.000	9.118	0.000	8.842	3.704	0.494	4.929	4.081	3.807	4.581	0.228	5.123	1.225	17.025	9.113	14.328	4.514	1.123	5.946	0.140	2.282
48	1.431	0.000	8.569	0.000	8.856	4.955	0.378	3.856	3.905	3.312	4.647	0.297	5.328	0.945	16.577	8.720	11.842	3.195	0.445	9.222	0.105	2.430
49	1.461	0.000	7.926	0.000	8.748	6.051	0.361	2.878	4.377	2.596	4.652	0.287	5.930	0.892	16.104	7.507	8.771	1.861	0.189	10.716	0.032	2.147
50	1.491	0.000	7.449	0.000	8.134	6.416	0.427	2.231	5.473	1.905	4.875	0.205	7.276	1.041	15.659	6.164	6.000	0.989	0.129	9.603	0.003	1.902
51	1.521	0.000	7.121	0.000	7.233	5.811	0.378	2.036	6.896	1.553	5.356	0.112	8.796	1.266	14.916	5.667	3.806	0.479	0.138	7.590	1.038E-4	1.671
52	1.551	0.000	6.503	0.000	6.698	4.773	0.254	2.139	7.675	1.211	5.745	0.105	9.297	1.467	13.709	5.940	2.445	0.220	0.164	6.158	3.898E-7	0.000
53	1.580	0.000	5.560	0.000	6.935	4.135	0.209	2.093	7.189	0.789	5.643	0.067	8.717	1.515	12.732	5.805	1.922	0.106	0.149	5.619	0.000	0.000
54	1.610	0.000	4.963	0.000	7.773	4.069	0.185	1.794	5.739	0.534	5.196	0.038	7.975	1.380	11.922	4.632	1.802	0.047	0.069	5.453	0.000	0.000
55	1.640	0.000	4.914	0.000	8.316	4.201	0.163	1.541	4.188	0.457	4.866	0.038	7.953	1.075	11.074	3.359	1.634	0.019	0.012	5.111	0.000	0.000
56	1.670	0.000	4.956	0.000	7.622	4.596	0.177	1.586	2.968	0.452	4.779	0.042	8.607	0.662	9.952	3.037	1.458	0.011	5.248E-4	4.319	0.000	0.000
57	1.700	0.000	4.547	0.000	6.031	5.709	0.135	1.860	2.187	0.398	4.911	0.031	9.954	0.287	8.579	3.969	1.165	0.003	2.464E-6	3.324	0.000	0.000
58	1.729	0.000	3.664	0.000	4.758	7.281	0.038	2.054	1.746	0.274	5.413	0.012	11.510	0.081	7.254	6.024	0.716	2.279E-4	1.996E-9	2.505	0.000	0.000
59	1.759	0.000	2.699	0.000	4.459	8.150	0.016	1.069	2.015	0.184	6.449	0.013	12.702	0.016	6.347	8.125	0.348	2.594E-6	0.000	1.927	0.000	0.000
60	1.789	0.000	2.108	0.000	5.027	7.732	0.011	0.061	2.575	0.179	7.891	0.064	12.899	0.001	6.176	9.382	0.164	1.198E-6	0.000	1.603	0.000	0.000
61	1.819	0.000	1.957	0.000	6.081	6.839	0.000	5.261E-4	3.216	0.161	9.263	0.127	12.705	3.017E-5	6.233	10.160	0.058	2.824E-4	0.000	1.551	0.000	0.000
62	1.849	0.000	1.924	0.000	7.077	6.500	0.000	0.000	2.785	0.111	10.135	0.090	12.640	4.853E-7	5.520	11.473	0.019	0.010	0.000	1.751	0.000	0.000
63	1.879	0.000	1.762	0.000	7.448	6.887	0.000	0.000	0.000	0.055	10.520	0.020	13.642	0.000	4.010	13.491	0.010	0.057	0.000	1.959	0.000	0.000
64	1.908	0.000	1.517	0.000	7.163	7.406	0.000	0.169	0.015	0.022	10.502	1.560E-5	15.721	0.000	2.655	15.028	0.005	0.055	0.000	2.048	0.000	0.000
65	1.938	0.000	1.297	0.000	6.505	7.441	0.000	0.462	0.226	0.042	10.086	0.000	17.099	0.000	1.757	14.840	8.920E-4	0.010	0.000	1.994	0.000	0.000
66	1.968	0.000	1.088	0.000	5.534	7.166	0.000	0.613	0.416	0.074	9.428	0.000	16.881	0.000	1.179	13.204	5.598E-5	2.959E-4	0.000	1.937	0.000	0.000
67	1.998	0.000	0.873	0.000	4.504	6.859	0.000	0.711	0.660	0.070	8.624	0.000	15.527	0.000	0.854	11.484	3.402E-7	5.844E-6	0.000	2.131	0.000	0.000
68	2.028	0.000	0.715	0.000	3.839	6.629	0.000	0.000	0.927	0.000	0.000	0.000	14.133	0.000	0.634	10.504	0.000	7.154E-8	0.000	0.000	0.000	0.000
