 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
35	1.044	8.120	8.851	7.959	6.743	9.851	7.919	10.089	6.791	5.303	4.103	6.923	2.294	3.196	4.739	10.738	12.694	4.728	6.744	4.184	3.397	2.351
36	1.073	11.032	8.937	8.534	7.362	9.014	7.782	9.389	6.742	6.913	4.925	7.161	2.126	3.186	5.240	12.115	12.503	4.177	6.586	3.490	3.437	2.695
37	1.103	8.848	8.789	9.900	7.330	8.306	8.104	8.777	6.549	7.747	4.935	7.547	2.010	3.235	5.683	12.162	11.774	3.864	6.578	3.183	3.623	2.060
38	1.133	3.799	8.814	7.251	7.045	7.744	8.488	8.325	6.087	6.867	4.395	7.619	1.976	3.187	5.757	11.252	10.755	3.693	6.831	3.448	3.748	1.469
39	1.163	0.000	8.854	4.393	7.281	7.360	8.133	8.143	5.570	5.251	3.955	7.172	1.988	3.084	5.599	10.169	9.877	3.590	6.843	4.293	3.767	1.498
40	1.193	0.000	8.790	0.000	7.660	7.126	7.180	8.132	5.111	4.307	4.185	6.378	2.026	3.317	5.273	9.229	9.205	3.502	6.131	5.225	3.749	2.155
41	1.223	0.000	8.409	0.000	7.766	6.947	6.272	8.054	4.743	4.329	5.144	5.081	2.011	4.182	4.881	9.099	8.561	3.283	5.250	5.365	3.820	2.972
42	1.252	0.000	7.552	0.000	6.938	6.895	5.638	7.777	4.461	4.996	6.165	3.661	1.916	5.476	4.881	9.255	7.784	2.877	4.834	4.701	4.094	3.398
43	1.282	0.000	6.564	0.000	5.979	7.128	5.318	7.370	4.142	5.564	6.539	2.808	1.792	6.113	5.620	8.884	7.102	2.417	4.838	4.313	4.560	3.690
44	1.312	0.000	5.671	0.000	5.600	7.554	5.268	7.063	3.921	5.740	6.468	2.421	1.747	5.122	6.956	7.918	6.687	2.030	4.634	4.831	4.642	3.710
45	1.342	0.000	5.110	0.000	5.649	7.854	5.106	7.014	3.827	5.402	6.447	2.061	1.838	3.146	8.152	7.215	6.282	1.662	3.993	6.367	3.948	3.204
46	1.372	0.000	4.750	0.000	5.504	7.763	4.618	7.079	3.881	4.497	6.486	1.609	2.011	1.673	8.406	7.577	5.715	1.380	3.304	8.993	2.863	2.808
47	1.401	0.000	4.234	0.000	5.067	7.375	3.773	7.013	3.904	3.459	6.215	1.272	2.176	1.054	7.494	8.455	5.158	1.150	2.944	12.475	1.952	2.976
48	1.431	0.000	3.437	0.000	4.743	7.082	2.841	6.861	3.782	2.707	5.561	1.261	2.284	0.923	6.131	9.101	4.635	0.886	2.702	15.178	1.355	2.790
49	1.461	0.000	2.791	0.000	4.567	6.974	2.034	6.872	3.672	2.324	5.028	1.597	2.199	1.008	5.100	8.510	3.783	0.639	2.311	15.004	0.876	1.639
50	1.491	0.000	2.132	0.000	3.795	6.849	1.488	7.156	3.723	2.205	5.254	1.983	1.980	1.199	4.713	7.418	2.663	0.507	1.826	12.607	0.529	0.790
51	1.521	0.000	1.759	0.000	3.374	6.733	1.325	7.564	3.796	2.376	6.518	1.904	1.807	1.548	4.946	7.175	1.635	0.476	1.346	10.174	0.329	0.542
52	1.551	0.000	1.549	0.000	2.945	6.896	1.434	7.817	3.652	2.337	8.162	1.396	1.612	1.794	5.548	7.405	0.973	0.442	0.969	8.320	0.245	0.000
53	1.580	0.000	1.359	0.000	2.611	7.482	1.578	7.904	3.428	1.737	8.294	0.994	1.377	1.357	6.030	6.911	0.611	0.349	0.726	6.913	0.269	0.000
54	1.610	0.000	1.106	0.000	2.422	8.200	1.468	7.975	3.402	1.138	6.611	0.891	1.138	0.548	6.049	5.759	0.422	0.235	0.541	5.705	0.387	0.000
55	1.640	0.000	0.942	0.000	2.329	8.722	1.165	7.744	3.627	0.885	5.115	1.027	0.993	0.132	5.708	5.422	0.309	0.184	0.366	4.521	0.542	0.000
56	1.670	0.000	0.770	0.000	2.148	9.182	0.811	7.064	4.073	0.813	4.709	1.281	0.958	0.043	5.478	6.738	0.202	0.211	0.219	3.348	0.621	0.000
57	1.700	0.000	0.628	0.000	1.869	9.700	0.573	6.456	4.527	0.645	5.141	1.430	0.946	0.028	5.693	9.972	0.129	0.228	0.114	2.423	0.628	0.000
58	1.729	0.000	0.425	0.000	1.664	9.985	0.490	6.267	3.204	0.443	6.089	1.344	0.921	0.010	6.161	13.436	0.087	0.181	0.073	1.916	0.573	0.000
59	1.759	0.000	0.231	0.000	1.359	9.886	0.477	6.141	1.622	0.311	7.035	1.130	0.807	8.370E-4	6.387	14.867	0.054	0.080	0.056	1.819	0.485	0.000
60	1.789	0.000	0.132	0.000	0.611	9.604	0.502	5.710	1.468	0.300	7.010	0.928	0.535	1.087E-5	5.915	14.432	0.024	0.020	0.034	1.924	0.403	0.000
61	1.819	0.000	0.090	0.000	0.481	9.224	0.501	5.134	1.480	0.261	6.305	0.744	0.432	3.446E-8	4.912	14.290	0.010	7.793E-4	0.016	2.025	0.331	0.000
62	1.849	0.000	0.064	0.000	0.563	8.907	0.458	4.727	1.409	0.148	5.745	0.527	0.662	0.000	3.739	15.430	0.008	0.000	0.013	2.061	0.276	0.000
63	1.879	0.000	0.054	0.000	0.663	8.719	0.354	4.444	1.260	0.097	5.395	0.348	1.019	0.000	2.894	16.985	0.010	0.000	0.010	1.977	0.223	0.000
64	1.908	0.000	0.038	0.000	0.716	8.266	0.282	4.131	1.030	0.046	5.063	0.243	1.336	0.000	2.440	18.012	0.002	0.000	0.002	1.868	0.143	0.000
65	1.938	0.000	0.017	0.000	0.612	7.404	0.188	4.014	0.698	0.077	4.935	0.168	1.537	0.000	2.307	18.252	9.010E-6	0.000	6.313E-4	1.855	0.066	0.000
66	1.968	0.000	0.005	0.000	0.554	6.619	0.089	4.371	0.840	0.195	5.388	0.111	1.732	0.000	2.318	17.973	0.000	0.000	1.435E-4	1.832	0.024	0.000
67	1.998	0.000	1.416E-4	0.000	0.427	6.214	0.003	5.119	1.158	0.237	6.074	0.086	1.980	0.000	2.333	17.269	0.000	0.000	7.599E-5	1.417	0.011	0.000
68	2.028	0.000	0.000	0.000	0.261	6.085	0.000	0.000	0.000	0.000	6.193	0.065	2.504	0.000	2.351	16.491	0.000	0.000	3.060E-6	0.846	0.013	0.000
69	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000
