 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
35	1.044	8.610	8.754	5.653	9.594	6.773	8.329	10.008	6.514	5.320	4.206	7.181	3.872	3.317	4.360	10.917	12.721	5.767	4.344	4.586	4.040	1.886
36	1.073	11.931	8.474	7.010	9.816	6.368	8.271	9.053	6.371	6.845	4.027	8.229	3.580	3.402	4.594	12.502	12.441	5.319	4.322	3.821	3.942	2.160
37	1.103	9.175	8.155	9.764	9.793	6.123	8.729	8.396	6.080	7.733	3.252	8.787	3.372	3.778	5.018	13.078	11.534	4.862	4.414	3.289	3.740	1.770
38	1.133	3.903	7.933	7.947	9.412	6.055	9.413	8.174	5.625	7.160	2.537	8.415	3.295	4.010	5.402	12.057	10.560	4.416	4.448	2.894	3.617	1.356
39	1.163	0.000	7.882	3.935	9.543	5.934	9.468	8.071	5.045	5.838	2.244	7.345	3.325	3.740	5.769	10.902	10.006	4.006	4.318	2.655	3.697	1.402
40	1.193	0.000	7.872	0.000	10.191	5.694	8.681	7.781	4.565	4.931	2.371	5.561	3.422	3.632	6.089	10.561	10.024	3.862	4.159	2.594	3.976	2.004
41	1.223	0.000	7.620	0.000	10.265	5.462	7.411	7.345	4.201	4.709	2.684	3.529	3.500	4.293	6.228	10.827	10.221	3.820	4.157	2.520	4.238	2.929
42	1.252	0.000	6.986	0.000	9.387	5.348	6.301	6.856	3.807	4.987	2.968	2.121	3.385	5.576	6.650	11.956	10.150	3.716	4.576	2.589	4.151	3.740
43	1.282	0.000	6.126	0.000	8.491	5.385	5.454	6.356	3.343	5.592	3.300	1.314	3.097	6.350	7.855	13.112	9.904	3.615	5.234	2.953	3.456	4.229
44	1.312	0.000	5.411	0.000	8.311	5.368	5.015	6.026	3.002	6.061	3.918	0.790	2.917	5.495	9.690	12.920	9.809	3.619	5.374	3.465	2.179	4.121
45	1.342	0.000	4.950	0.000	8.573	5.249	4.836	6.069	2.931	5.788	4.727	0.486	3.073	3.546	11.512	11.870	9.930	3.785	4.504	4.371	1.001	3.461
46	1.372	0.000	4.700	0.000	8.539	5.209	4.557	6.152	3.043	5.003	5.339	0.381	3.481	1.977	12.436	11.005	9.915	3.878	3.238	6.589	0.390	3.038
47	1.401	0.000	4.544	0.000	7.772	5.356	3.940	5.774	3.340	4.464	5.330	0.438	3.879	1.179	12.019	10.990	9.531	3.472	2.353	10.336	0.167	3.296
48	1.431	0.000	4.360	0.000	7.344	5.743	3.062	5.081	4.011	4.095	4.882	0.606	4.122	0.869	10.713	10.743	8.490	2.507	1.876	13.964	0.074	3.237
49	1.461	0.000	4.108	0.000	7.007	6.280	2.222	4.576	4.847	3.411	4.604	0.784	4.216	0.875	9.472	9.407	6.715	1.555	1.475	14.797	0.022	2.116
50	1.491	0.000	3.838	0.000	6.473	6.671	1.661	4.474	5.352	2.423	4.913	0.792	4.382	1.133	8.786	7.803	4.640	0.993	1.091	12.690	0.003	1.204
51	1.521	0.000	3.663	0.000	5.749	6.671	1.411	4.741	5.403	1.872	5.734	0.543	4.705	1.621	8.484	7.015	2.910	0.736	0.686	9.856	1.986E-4	0.882
