 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
16	0.481	83.344	39.814	69.284	11.700	69.681	15.447	21.300	31.753	49.885	43.488	0.000	30.403	21.241	14.398	22.317	86.116	14.452	14.614	42.700	48.820	32.051	67.331	23.200	0.000	53.123	62.808	25.800	13.251	45.380	83.445	27.101	96.658	54.853	58.207	31.682	13.921	35.985	25.100	23.336	26.620	14.463	65.050	107.982	20.919	52.400	132.698	78.320	80.943	7.421
17	0.511	66.595	60.032	46.584	0.000	61.576	7.016	0.000	15.282	32.388	23.443	0.000	16.583	13.890	9.796	8.188	74.313	5.997	8.881	43.100	25.203	18.391	54.964	10.906	0.000	28.700	40.327	15.200	6.227	33.012	68.299	26.764	104.008	36.733	56.574	51.788	5.591	22.132	11.694	13.088	13.907	12.324	47.439	118.488	7.985	52.700	135.016	59.253	72.237	2.208
18	0.541	43.219	73.151	21.009	0.000	48.983	0.183	0.000	6.102	15.286	10.231	0.000	6.407	6.600	7.541	0.224	57.761	2.131	5.590	53.100	8.929	9.863	40.029	1.522	0.000	12.523	19.587	6.624	7.203	23.840	47.088	13.627	102.009	20.934	59.765	75.715	1.071	13.625	4.135	5.885	6.941	10.086	28.652	124.040	0.833	64.700	131.307	36.532	55.189	0.068
19	0.571	23.450	85.487	4.841	0.000	36.732	0.000	0.000	0.320	1.965	2.479	0.000	1.098	0.146	2.470	2.952	34.184	0.130	0.857	67.600	1.095	3.944	26.840	0.000	0.000	2.125	8.112	0.177	11.740	13.992	27.959	0.479	94.498	8.863	62.031	94.777	0.000	1.814	0.196	0.155	0.964	1.184	14.979	121.471	0.000	76.800	120.202	18.109	35.335	0.000
20	0.601	12.466	97.866	0.510	0.000	20.577	0.000	0.000	0.000	12.431	0.000	0.000	0.000	0.000	0.000	17.974	15.854	0.000	0.000	78.200	0.000	0.316	16.484	0.000	0.000	0.000	0.810	0.000	16.310	0.614	12.515	0.000	80.971	2.990	57.215	100.793	0.000	0.000	0.000	0.000	0.000	0.000	3.765	109.642	0.352	87.300	103.122	6.545	20.892	0.000
21	0.631	3.593	108.911	0.000	0.000	25.290	0.000	5.900	0.000	29.041	0.000	0.408	0.000	0.000	0.000	33.656	2.733	0.000	0.000	81.500	0.000	0.000	17.585	0.000	0.000	0.000	0.000	0.000	17.839	0.000	0.578	0.000	61.504	0.688	44.513	91.577	0.000	0.000	0.000	0.000	0.000	0.000	0.000	88.328	3.338	93.900	84.020	0.641	11.419	0.000
22	0.661	0.000	117.393	0.000	0.000	45.685	0.000	20.100	0.000	49.569	0.000	7.916	0.000	0.000	0.000	58.553	0.000	0.000	0.000	81.300	0.000	0.000	25.974	0.000	0.000	0.000	0.000	0.000	15.522	0.000	0.000	10.710	39.737	0.000	30.016	70.899	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.355	9.582	97.600	63.581	0.000	0.757	0.000
23	0.691	0.000	122.829	0.000	0.000	61.638	0.000	33.400	0.000	69.849	0.000	16.592	0.000	0.000	0.000	83.547	0.000	0.000	0.000	81.900	0.000	0.000	39.529	0.000	0.000	0.000	0.000	0.000	10.635	0.000	0.000	32.940	22.539	0.000	11.282	45.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	35.220	20.377	101.800	43.636	0.000	0.000	0.000
24	0.721	0.000	126.627	0.000	0.000	74.662	0.000	50.400	0.000	85.437	0.000	28.568	0.000	0.000	0.000	97.891	0.000	0.000	0.000	79.600	0.000	0.000	54.262	0.000	0.000	0.000	0.000	0.000	6.763	0.000	0.000	52.464	7.638	0.000	0.140	25.627	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.856	34.663	109.400	23.221	0.000	0.000	0.000
25	0.751	0.000	131.354	0.000	0.000	81.621	0.000	67.100	0.000	94.729	0.000	48.968	0.000	0.000	0.000	100.375	0.000	0.000	0.000	68.800	1.074	0.000	63.874	0.000	0.000	0.000	0.000	0.000	3.981	0.000	0.000	69.807	0.319	0.000	1.335	11.305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	50.638	119.800	1.974	0.000	0.000	0.000
26	0.000	0.000	0.000	0.000	0.000	82.842	0.000	79.900	0.000	97.823	0.000	71.820	0.000	0.000	0.000	95.591	0.000	0.000	0.000	50.300	0.000	0.000	68.181	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.926	91.989	0.000	0.000	7.641	0.326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	129.300	0.000	0.000	0.000	0.000
