 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
16	0.481	1.215	0.000	44.059	12.000	30.806	47.524	23.400	24.744	35.817	12.815	67.605	26.417	11.536	10.975	13.268	55.698	12.440	9.454	54.100	16.962	20.982	0.048	29.937	65.598	67.429	3.112	11.765	9.019	13.511	0.000	24.929	36.648	39.181	67.352	7.342	7.739	21.368	10.666	21.050	8.724	8.954	65.106	80.633	32.633	57.800	88.057	0.000	19.675	3.979
17	0.511	0.000	0.000	32.172	0.000	19.944	30.235	0.000	11.752	21.262	8.051	80.637	29.084	2.638	7.189	6.293	38.674	5.136	4.193	55.900	7.696	9.017	0.000	14.023	85.677	55.785	0.558	2.707	2.830	4.978	0.000	17.647	19.739	19.632	57.759	1.927	3.947	9.956	4.349	11.383	3.397	6.419	59.159	64.075	11.268	64.400	93.166	0.000	6.598	0.112
18	0.541	0.000	0.000	19.846	0.000	12.357	10.580	0.000	4.916	4.439	3.927	85.985	31.076	0.000	4.654	0.342	35.946	1.888	1.594	64.400	2.350	3.725	0.000	1.223	103.601	38.319	0.000	0.000	1.155E-4	1.034	0.000	6.212	7.213	6.868	61.212	0.000	1.385	2.826	0.771	6.069	0.000	3.301	50.821	49.227	3.212	78.200	89.147	0.000	0.000	0.000
19	0.571	0.000	0.000	6.436	0.000	0.950	3.174	0.000	0.988	13.090	0.083	80.232	31.773	0.000	1.963	5.653	41.849	0.344	0.385	77.100	0.201	1.058	0.000	0.000	114.167	19.696	0.000	0.000	0.000	0.000	0.000	0.000	0.183	0.265	73.019	0.000	0.000	0.000	0.000	2.061	0.000	0.000	39.714	33.141	0.000	92.400	75.470	0.000	0.000	0.000
20	0.601	0.000	0.000	1.164	0.000	0.000	0.131	0.000	0.000	32.055	0.000	64.582	29.246	0.000	0.011	21.215	56.344	0.000	0.000	86.600	0.000	0.000	0.000	0.000	113.550	4.060	0.000	0.000	0.000	0.000	2.652	0.000	0.000	0.000	85.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	27.893	20.779	0.000	101.800	55.198	0.000	0.000	0.000
21	0.631	0.000	0.000	0.000	0.000	0.000	0.000	8.900	0.000	51.244	0.000	44.932	21.675	0.000	0.000	37.136	66.088	0.000	0.000	89.400	0.000	0.000	0.000	0.000	100.846	0.000	0.000	0.000	0.000	0.000	11.465	1.689	0.000	0.000	90.916	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.511	14.119	0.000	105.600	35.775	0.000	0.000	0.000
22	0.661	0.000	0.000	0.000	0.000	0.000	0.000	21.700	0.000	74.336	0.000	28.228	13.058	0.000	0.000	60.471	65.335	0.000	0.000	88.200	0.000	0.000	0.000	0.000	82.406	0.000	0.000	0.000	0.000	0.000	28.139	17.008	0.000	0.000	86.757	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.175	6.272	0.000	106.600	22.956	0.000	0.000	0.000
23	0.691	0.000	0.000	0.000	0.000	0.000	0.000	38.100	0.000	93.442	0.000	15.021	5.917	0.000	0.000	83.261	51.874	0.000	0.000	87.900	0.000	0.000	0.000	0.000	67.400	0.000	0.000	0.000	0.000	0.000	47.136	42.585	0.000	0.000	73.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.327	1.704	0.000	109.100	10.132	0.000	0.000	0.000
24	0.721	0.000	0.000	0.000	0.000	0.000	0.000	58.000	0.000	104.248	0.000	3.976	1.041	0.000	0.000	95.946	31.761	0.000	0.000	84.400	0.000	0.000	0.000	0.000	58.218	0.000	0.000	0.000	0.000	0.000	66.434	64.502	0.000	0.000	50.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.439	115.100	0.244	0.000	0.000	0.000
25	0.751	0.000	0.000	0.000	0.000	0.000	0.000	75.800	0.000	107.714	0.000	0.000	0.000	0.000	0.000	96.853	17.414	0.000	0.000	71.000	0.000	0.000	0.000	0.000	51.416	0.000	0.000	0.000	0.000	0.000	80.187	84.787	0.000	0.000	28.259	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.142	123.800	0.000	0.000	0.000	0.000
26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	86.800	0.000	104.753	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	48.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	96.314	0.000	0.000	11.585	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.076	0.000	132.300	0.174	0.000	0.000	0.000
