 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	4.441	0.584	115.366	0.210	1.183	0.226	1.135	9
2	5.480	4.249	59.473	15.372	7.451	2.627	52.726	6
3	9.692	0.105	145.968	0.044	0.303	0.186	0.042	32
4	11.160	0.045	0.000	0.008	0.102	0.102	0.060	37
5	12.750	2.470	132.017	2.215	4.058	0.695	11.995	34
6	12.689	1.048	108.387	0.310	2.085	0.189	2.051	39
7	9.988	0.165	0.000	0.008	0.102	0.102	0.060	35
8	5.126	0.578	51.900	0.042	0.277	0.191	0.085	15
9	6.783	0.588	110.013	0.033	0.241	0.177	0.030	25
10	25.156	0.884	168.965	0.075	0.626	0.152	0.428	50
11	14.340	5.805	127.589	3.329	7.217	0.587	15.508	33
12	0.623	1.241	154.889	0.172	0.881	0.249	0.865	1
13	5.097	1.520	107.732	0.058	0.431	0.171	0.248	14
14	10.209	1.886	47.425	0.044	0.255	0.220	0.000	0
15	5.289	2.059	75.806	0.021	0.234	0.113	0.133	16
16	4.815	2.622	128.769	0.197	0.801	0.313	0.563	11
17	2.663	2.538	141.047	0.019	0.169	0.143	0.042	4
18	2.920	2.729	136.929	0.026	0.221	0.151	0.073	5
19	5.302	2.824	90.000	0.011	0.136	0.102	0.030	17
20	1.363	3.083	67.951	0.059	0.346	0.216	0.115	2
21	3.153	3.033	134.999	0.029	0.216	0.171	0.030	7
22	2.436	3.848	127.635	0.543	1.128	0.613	2.965	3
23	7.167	3.528	5.984	0.029	0.226	0.163	0.060	28
24	6.079	5.841	82.045	1.401	2.774	0.643	6.849	22
25	6.775	3.789	58.362	0.069	0.397	0.220	0.218	24
26	7.250	4.603	63.222	0.267	1.424	0.239	1.305	27
27	6.704	4.261	71.870	0.050	0.485	0.130	0.410	23
28	6.392	5.581	78.951	0.019	0.201	0.120	0.060	21
29	6.055	6.412	125.583	0.073	0.445	0.209	0.188	18
30	5.806	8.791	114.619	0.820	4.032	0.259	4.149	13
31	6.067	7.829	24.392	0.043	0.316	0.174	0.115	19
32	6.728	9.354	103.100	1.128	2.845	0.505	4.176	20
33	7.529	8.555	102.247	0.225	1.009	0.283	0.813	29
34	19.739	14.649	118.415	2.351	5.044	0.593	12.479	40
35	7.646	16.663	100.082	2.169	6.709	0.412	9.859	26
36	20.203	14.346	79.980	0.036	0.299	0.154	0.133	41
37	21.025	17.198	115.573	0.032	0.232	0.178	0.073	42
38	4.952	17.230	124.187	0.028	0.239	0.149	0.085	12
39	21.130	17.586	134.999	0.020	0.167	0.151	0.073	42
40	8.523	18.528	102.049	0.053	0.419	0.162	0.205	31
41	21.323	18.878	81.528	0.032	0.219	0.184	0.000	0
42	9.862	25.913	107.225	2.086	9.982	0.266	11.030	30
43	22.500	22.700	88.133	1.018	2.438	0.532	4.423	45
44	22.124	23.566	45.001	0.021	0.178	0.148	0.060	47
45	22.966	23.987	0.000	0.008	0.102	0.102	0.060	47
46	23.377	25.420	125.733	1.665	3.457	0.613	7.297	49
47	25.742	28.035	121.430	1.076	6.427	0.213	6.533	48
48	26.156	29.867	121.949	0.443	2.181	0.259	1.930	51
49	11.557	30.047	104.266	0.032	0.298	0.139	0.163	38
