 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
16	0.481	16.580	22.337	16.922	8.000	0.000	19.038	11.400	15.487	24.859	11.548	79.096	75.023	11.631	8.121	8.418	101.193	13.930	12.469	33.100	15.775	15.282	8.092	6.854	85.297	28.007	6.019	0.465	24.646	28.069	22.594	13.753	0.000	5.009	53.408	8.332	7.140	49.343	16.236	15.820	12.562	9.524	98.537	6.272	16.533	28.500	81.792	14.757	13.424	10.489
17	0.511	6.037	5.856	0.000	0.000	0.000	11.010	0.000	6.284	15.535	5.180	81.852	60.920	6.616	4.971	0.000	90.841	5.716	5.553	37.500	3.872	6.595	1.516	2.796	86.264	13.473	0.685	0.000	17.900	19.460	13.791	11.774	0.000	3.618	70.902	0.000	1.086	31.942	5.975	6.926	6.858	5.392	102.938	3.105	5.456	23.400	81.720	6.377	7.667	4.762
18	0.541	0.000	0.000	0.000	0.000	0.000	4.041	0.000	1.680	6.945	1.348	85.552	39.023	1.125	2.638	0.000	72.489	2.120	2.826	52.200	0.000	2.239	0.000	0.027	86.651	4.843	0.000	0.000	22.205	11.986	8.898	10.580	0.000	0.153	80.565	0.000	0.000	16.245	1.731	2.824	1.133	1.535	95.375	0.209	1.303	31.700	81.384	2.229	4.121	2.037
19	0.571	0.000	0.000	0.000	0.000	0.000	0.520	0.000	0.000	0.261	0.000	86.636	19.095	0.000	0.722	1.251	44.304	0.482	0.928	68.400	0.000	0.375	0.000	0.000	85.280	2.053	0.000	0.000	36.475	7.074	1.500	2.286	0.000	0.000	81.099	0.000	0.000	4.221	0.050	0.186	0.000	0.000	77.470	0.000	0.000	43.200	79.976	0.000	0.000	0.153
20	0.601	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.641	0.000	79.344	7.160	0.000	0.000	14.467	23.422	0.000	0.000	77.600	0.000	0.000	0.000	0.000	83.414	0.339	0.000	0.000	54.041	3.022	0.000	0.000	0.000	0.000	74.085	0.000	0.000	0.126	0.000	0.094	0.000	0.000	53.461	0.000	0.314	53.200	76.392	0.000	0.000	0.000
21	0.631	0.000	0.000	0.000	0.000	0.000	0.000	1.100	0.000	8.486	0.000	61.932	1.468	0.000	0.000	27.837	11.779	0.000	0.000	79.800	0.000	0.000	0.000	0.000	80.913	0.000	0.000	0.000	65.289	0.000	0.000	0.000	0.000	0.000	60.802	0.000	0.000	0.000	0.000	0.000	0.000	0.000	29.577	0.000	5.906	65.600	71.932	0.000	0.000	0.000
22	0.661	0.000	0.000	0.000	0.000	0.000	0.000	13.300	0.000	14.695	0.000	41.168	0.000	0.000	0.000	48.505	6.241	0.000	0.000	79.900	0.000	0.000	0.000	0.000	77.032	0.000	0.000	0.000	65.181	0.000	0.000	0.000	0.000	0.000	43.202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.667	0.000	17.071	74.000	69.204	0.000	0.000	0.000
23	0.691	0.000	0.000	0.000	0.000	5.443	0.000	23.500	0.000	25.854	0.000	24.940	0.000	0.000	0.000	70.997	17.715	0.000	0.000	79.000	0.017	0.000	0.000	0.000	70.059	0.000	0.000	0.000	53.417	0.000	0.000	0.000	0.000	0.000	26.783	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	34.565	82.200	68.836	0.000	0.000	0.000
24	0.721	0.000	0.000	0.000	0.000	16.787	0.000	34.800	0.000	40.405	0.000	13.036	0.000	0.000	0.000	85.516	31.076	0.000	0.000	73.000	2.349	0.000	0.000	0.000	58.838	0.000	0.000	0.000	35.375	0.000	0.000	2.842	0.000	0.000	15.404	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	58.674	91.800	71.144	0.000	0.000	0.000
25	0.751	0.000	0.000	0.000	0.000	30.254	0.000	47.400	0.000	56.611	0.000	5.004	0.000	0.000	0.000	89.594	48.992	0.000	0.000	60.100	11.924	0.000	0.000	0.000	38.078	0.000	0.000	0.000	19.748	0.000	0.000	16.270	0.000	0.000	4.563	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	83.414	102.900	71.060	0.000	0.000	0.000
26	0.781	0.000	0.000	0.000	0.000	48.578	0.000	62.500	0.000	0.000	0.000	0.760	0.000	0.000	0.000	0.000	69.626	0.000	0.000	43.600	0.000	0.000	0.000	0.000	20.743	0.000	0.000	0.000	9.312	0.000	0.000	35.040	0.000	0.000	0.231	0.000	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	111.100	65.888	0.000	0.000	0.000
