 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	15.786	3.127	98.482	1.140	4.045	0.359	7.152	21
2	10.480	2.439	177.312	0.483	2.153	0.286	2.036	3
3	12.365	2.633	165.893	0.080	0.561	0.180	0.398	6
4	16.728	7.798	105.295	0.398	2.860	0.177	2.794	24
5	17.287	9.228	131.924	0.026	0.224	0.149	0.043	26
6	18.862	12.741	112.267	0.053	0.420	0.162	0.205	28
7	6.206	13.154	139.370	0.165	0.943	0.223	0.763	1
8	6.199	13.666	176.940	0.116	0.686	0.215	0.458	2
9	17.273	17.401	74.065	0.886	4.961	0.228	5.067	25
10	18.189	16.327	12.564	0.096	0.652	0.187	0.471	27
11	16.433	20.274	69.583	0.136	1.015	0.170	0.906	23
12	15.596	21.078	123.794	0.070	0.386	0.232	0.248	20
13	15.899	22.077	76.884	0.287	1.427	0.256	1.460	22
14	14.355	26.590	69.526	4.693	5.170	1.156	18.815	15
15	15.452	26.645	72.891	0.613	1.764	0.442	3.371	19
16	12.400	26.269	93.689	0.100	0.805	0.159	0.614	9
17	30.713	26.217	94.239	0.024	0.261	0.119	0.150	31
18	13.412	26.310	73.024	0.061	0.419	0.187	0.290	14
19	11.719	26.644	49.245	0.152	0.491	0.393	0.858	4
20	13.921	27.075	88.964	0.120	0.706	0.217	0.591	17
21	28.439	27.310	165.226	0.106	0.382	0.352	0.030	30
22	22.232	27.797	165.308	0.089	0.623	0.183	0.411	29
23	14.249	29.226	75.490	0.651	2.702	0.307	3.822	16
24	11.985	29.322	79.389	0.423	2.198	0.245	2.333	5
25	12.451	28.668	71.744	0.027	0.269	0.128	0.133	10
26	12.270	29.544	87.260	0.167	1.085	0.196	0.982	8
27	12.725	29.920	64.424	0.436	1.388	0.400	2.313	11
28	15.458	30.191	173.250	0.220	1.722	0.163	1.615	18
29	13.399	30.494	77.681	0.091	0.664	0.175	0.458	13
30	12.968	30.612	62.427	0.065	0.378	0.219	0.103	12
31	12.201	30.718	45.001	0.014	0.140	0.123	0.103	12
