 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
30	0.636	2.943	11.859	5.072	3.950	23.559	4.540	2.352	5.058	1.843	4.545	4.775	2.541	2.976	1.307	4.116	0.324	2.961	0.459	5.032	8.792	16.931	0.020	3.930	7.746	0.099
31	0.657	3.099	11.941	4.546	4.527	38.239	4.286	2.307	4.645	3.099	4.620	4.731	4.362	2.320	1.107	4.003	0.218	3.678	0.689	5.558	13.390	12.687	0.019	3.663	7.813	0.104
32	0.678	3.242	12.134	3.879	5.521	51.878	4.161	2.573	3.956	4.702	5.181	4.553	7.251	1.957	1.021	3.683	0.191	4.530	1.075	6.865	16.695	8.877	0.030	4.220	7.931	0.092
33	0.699	3.380	12.360	3.223	6.547	58.723	4.186	3.152	3.159	6.369	6.551	4.304	11.054	1.888	1.066	3.432	0.237	5.296	1.498	9.235	18.286	6.196	0.053	5.277	8.310	0.089
34	0.720	3.572	12.359	2.735	7.163	57.343	4.424	3.918	2.476	7.955	8.586	4.111	14.963	2.020	1.206	3.443	0.383	5.501	1.728	12.792	18.033	4.625	0.085	6.223	8.976	0.118
35	0.742	3.810	12.008	2.470	7.026	50.310	4.886	4.681	2.068	9.514	10.727	4.035	17.855	2.227	1.309	3.876	0.675	5.044	1.734	17.523	15.717	3.880	0.140	6.205	9.739	0.227
36	0.763	4.025	11.445	2.397	6.344	40.647	5.479	5.298	1.942	11.300	12.167	4.130	19.044	2.444	1.266	4.806	1.116	4.156	1.703	22.989	12.351	3.626	0.249	5.216	10.374	0.563
37	0.784	4.182	10.897	2.491	5.653	30.414	5.877	5.766	2.050	13.378	12.567	4.354	18.894	2.655	1.091	5.880	1.636	3.351	1.783	28.032	9.183	3.619	0.418	3.861	10.659	1.464
38	0.805	4.296	10.493	2.707	5.361	21.148	6.210	6.192	2.390	15.520	12.329	4.676	18.366	2.895	0.966	6.506	2.199	2.786	1.981	30.974	7.000	3.694	0.621	2.861	10.584	3.212
39	0.826	4.371	10.152	3.045	5.489	14.001	6.417	6.733	2.982	17.038	12.282	5.031	18.288	3.214	1.003	6.457	2.944	2.589	2.282	30.869	5.942	3.744	0.837	2.357	10.329	5.428
40	0.847	4.401	9.772	3.436	5.826	9.245	6.628	7.455	3.727	16.987	12.781	5.310	18.951	3.619	1.238	5.963	4.166	2.642	2.636	28.106	5.875	3.756	1.086	2.288	9.998	6.943
41	0.869	4.363	9.405	3.844	5.964	6.401	6.726	8.184	4.302	15.159	13.743	5.451	20.208	4.070	1.687	5.444	6.332	2.797	3.020	24.086	6.791	3.831	1.386	2.642	9.645	7.153
42	0.890	4.236	9.084	4.338	5.772	4.752	6.667	8.635	4.475	12.129	14.665	5.509	21.733	4.436	2.290	5.215	10.087	2.864	3.426	19.910	8.565	4.028	1.683	3.653	9.246	6.768
43	0.911	4.055	8.649	4.984	5.397	3.771	6.426	8.713	4.304	9.189	14.972	5.561	23.460	4.636	2.936	5.372	16.019	2.786	3.876	16.392	10.680	4.211	1.905	5.850	8.812	6.827
