 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
30	0.636	15.144	11.970	4.148	3.130	19.293	1.986	1.736	6.447	1.073	1.493	8.696	1.053	4.478	1.948	4.705	0.282	1.815	0.368	4.199	17.787	17.025	0.017	4.889	2.895	0.223
31	0.657	17.237	13.590	4.744	3.896	29.929	1.890	2.598	6.243	1.703	1.744	8.318	1.991	3.783	1.746	4.089	0.245	3.245	0.367	3.274	14.724	17.316	0.025	4.512	3.062	0.285
32	0.678	19.802	13.845	4.538	4.641	39.228	2.135	2.953	5.195	2.504	1.960	7.304	3.529	3.335	1.536	3.231	0.274	5.418	0.419	2.687	10.482	14.537	0.052	4.140	3.275	0.421
33	0.699	23.084	13.042	3.572	5.367	43.701	2.617	3.371	4.032	3.563	2.163	6.025	5.613	3.453	1.418	2.374	0.336	6.966	0.528	2.555	7.162	10.956	0.096	3.874	3.747	0.724
34	0.720	27.462	11.737	2.673	5.999	42.711	3.170	3.809	3.254	5.179	2.439	4.953	7.863	3.996	1.390	1.728	0.427	7.562	0.757	2.824	5.196	8.297	0.145	3.832	4.764	1.304
35	0.742	32.768	10.404	2.081	6.433	37.819	3.586	4.159	2.976	7.475	2.990	4.257	9.680	4.558	1.375	1.387	0.594	7.224	1.155	3.506	4.239	7.021	0.196	4.018	6.371	2.331
36	0.763	37.332	9.344	1.778	6.730	30.898	3.704	4.346	3.055	9.956	3.961	3.857	10.672	4.738	1.296	1.332	0.900	6.165	1.716	4.646	3.736	6.772	0.271	4.327	8.346	4.041
37	0.784	38.534	8.648	1.738	6.802	23.192	3.682	4.472	3.282	11.217	5.302	3.690	10.745	4.548	1.161	1.551	1.369	4.980	2.230	6.129	3.443	6.888	0.434	4.658	10.083	6.611
38	0.805	35.213	8.245	1.975	6.600	15.929	3.655	4.776	3.499	10.508	6.904	3.754	10.171	4.332	1.060	2.045	2.031	3.998	2.499	7.737	3.352	6.771	0.818	4.770	10.950	9.402
39	0.826	28.926	8.044	2.565	6.273	10.274	3.703	5.419	3.623	8.572	8.437	4.001	9.336	4.460	1.129	2.795	3.021	3.395	2.596	9.077	3.547	6.270	1.585	4.563	10.835	11.365
