 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
25	0.530	50.758	41.787	11.009	0.000	0.022	30.085	25.394	3.106	14.969	36.760	25.896	19.556	34.728	69.904	0.000	0.000	0.000	26.639	0.000	3.423	0.000	18.046	10.959	32.734	0.000	17.404	0.000	23.829	0.000	59.733	33.655
26	0.551	55.303	34.846	3.050	0.000	0.000	33.176	16.807	0.000	7.254	21.338	22.964	13.890	21.502	45.201	0.000	0.000	0.000	22.157	0.000	0.000	0.000	9.682	1.067	19.636	0.000	9.833	0.000	13.752	0.000	65.556	16.995
27	0.572	54.630	25.287	0.083	0.000	0.000	33.797	6.070	0.000	0.104	11.503	20.348	10.591	12.738	26.378	0.000	0.000	0.000	9.745	0.000	0.000	0.000	4.180	0.000	12.015	0.000	3.746	0.000	9.222	0.000	77.478	8.599
28	0.593	48.001	17.253	0.000	0.000	0.000	29.906	0.080	0.000	0.000	6.067	15.871	3.933	7.241	15.124	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	6.964	0.000	0.076	0.000	0.000	0.000	87.942	4.526
29	0.614	37.047	2.265	0.000	0.000	0.000	19.412	0.000	0.000	0.000	0.890	11.465	0.000	1.103	9.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.381	0.000	0.000	0.000	0.000	0.000	84.770	0.396
30	0.636	25.412	0.000	0.000	0.000	0.000	5.797	0.000	0.000	0.000	0.000	8.020	0.000	0.000	3.248	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	64.156	0.000
31	0.657	16.327	0.000	0.000	0.000	0.000	0.033	0.000	0.000	0.000	0.000	5.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	37.589	0.000
32	0.678	5.530	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.844	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.472	0.000
33	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.075	0.000
34	0.720	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.388	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.827	0.000
35	0.742	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.649	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.295	0.000
36	0.763	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
37	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
