 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
35	1.044	8.312	6.492	3.354	7.807	7.443	6.474	8.778	3.566	6.738	3.700	6.370	4.043	2.781	4.058	10.655	10.915	5.557	3.446	4.336	2.777	1.827
36	1.073	10.772	6.167	4.237	8.021	6.580	5.942	8.076	3.386	8.021	3.579	7.484	3.966	3.381	4.054	12.388	10.951	5.321	3.351	3.392	2.615	1.524
37	1.103	7.831	5.875	6.340	8.094	5.706	5.451	7.854	3.290	8.146	2.778	8.349	3.937	3.771	4.271	12.444	10.422	5.059	3.345	2.659	2.334	1.177
38	1.133	3.881	5.735	5.205	7.837	5.115	5.316	7.550	3.294	7.173	2.033	8.548	4.064	3.615	4.514	11.163	9.483	4.796	3.410	2.040	2.215	0.942
39	1.163	0.000	5.650	5.205	7.732	4.804	5.481	6.848	3.294	6.264	1.725	8.013	4.390	3.362	4.733	10.240	8.618	4.446	3.395	1.556	2.305	0.915
40	1.193	0.000	5.522	0.000	7.951	4.727	5.592	5.986	3.244	5.823	1.782	6.564	4.775	3.616	5.042	10.685	8.325	4.134	3.332	1.311	2.400	1.271
41	1.223	0.000	5.375	0.000	8.067	4.808	5.174	5.222	3.104	5.645	1.978	4.507	4.905	4.364	5.410	12.135	8.705	4.124	3.449	1.384	2.211	2.197
42	1.252	0.000	5.220	0.000	7.896	4.883	4.414	4.587	2.801	5.822	2.142	2.585	4.738	4.892	6.019	13.778	9.270	4.303	3.799	1.813	1.621	3.359
43	1.282	0.000	5.057	0.000	7.830	4.661	3.508	4.224	2.328	6.274	2.296	1.348	4.502	4.442	7.082	14.457	9.756	4.524	4.335	2.183	1.062	3.834
44	1.312	0.000	4.873	0.000	8.233	4.109	2.869	4.286	1.907	6.364	2.687	0.720	4.431	3.308	8.547	13.777	10.591	4.579	4.387	2.395	0.625	3.352
45	1.342	0.000	4.703	0.000	8.848	3.632	2.636	4.384	1.793	5.608	3.443	0.482	4.527	2.321	10.160	12.747	12.181	4.562	3.573	3.036	0.274	2.566
46	1.372	0.000	4.599	0.000	9.017	3.606	2.614	3.826	1.908	4.945	4.342	0.411	4.734	1.772	11.257	12.072	13.518	4.653	2.332	4.785	0.118	2.247
47	1.401	0.000	4.542	0.000	8.555	4.074	2.531	2.869	2.154	4.751	4.882	0.387	4.934	1.450	11.499	11.704	13.603	4.454	1.348	7.501	0.090	2.570
48	1.431	0.000	4.419	0.000	7.886	4.793	2.193	2.195	2.670	4.414	4.882	0.265	5.084	1.339	11.165	10.457	12.066	3.760	0.772	9.526	0.062	2.823
49	1.461	0.000	4.141	0.000	7.365	5.351	1.694	1.950	3.358	3.234	4.783	0.165	5.356	1.522	11.145	8.271	9.495	3.031	0.427	9.459	0.021	2.394
50	1.491	0.000	3.860	0.000	6.939	5.465	1.231	2.039	3.817	2.082	4.914	0.112	5.922	1.992	11.732	6.413	6.822	2.594	0.206	8.029	0.003	1.916
51	1.521	0.000	3.728	0.000	6.400	5.143	0.781	2.264	3.816	1.457	5.386	0.075	6.629	2.445	12.211	5.890	4.672	2.172	0.099	6.645	7.410E-5	1.550
52	1.551	0.000	3.708	0.000	5.768	4.771	0.442	2.413	3.651	1.096	6.010	0.098	6.953	2.502	12.121	6.334	3.158	1.494	0.067	5.813	5.457E-7	0.000
