 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	27.957	0.439	90.102	0.414	1.081	0.488	0.787	9
2	27.927	1.493	95.949	0.186	0.624	0.380	0.208	10
3	29.822	7.174	131.619	0.118	0.547	0.274	0.273	11
4	32.961	9.054	145.993	0.013	0.251	0.064	0.000	0
5	33.425	9.718	145.630	0.022	0.244	0.112	0.000	0
6	35.081	11.728	135.395	0.106	0.444	0.305	0.000	0
7	39.420	17.094	115.692	0.445	1.916	0.296	1.655	15
8	40.105	17.709	171.054	0.040	0.331	0.155	0.072	19
9	40.377	18.730	137.932	0.041	0.243	0.216	0.021	20
10	39.358	21.692	68.917	0.153	0.560	0.348	0.102	16
11	39.886	22.397	65.055	0.535	1.221	0.558	0.813	18
12	37.580	26.686	43.329	0.274	0.793	0.440	0.333	14
13	39.591	27.330	11.716	0.275	0.798	0.439	0.238	17
14	36.948	27.844	33.159	0.122	0.403	0.385	0.000	0
15	35.702	29.945	45.000	0.012	0.130	0.115	0.388	12
16	35.049	30.528	33.887	0.128	0.883	0.185	0.388	12
17	1.457	30.529	135.000	0.007	0.122	0.075	0.000	0
18	2.487	30.854	165.773	0.047	0.307	0.193	0.021	1
19	28.652	31.068	134.999	0.012	0.130	0.115	0.000	0
20	29.725	31.078	152.813	0.015	0.145	0.131	0.000	0
21	33.824	31.496	141.818	0.009	0.151	0.080	0.000	0
22	25.443	31.955	38.133	0.064	0.447	0.183	0.030	8
23	24.437	32.253	68.675	0.052	0.271	0.243	0.000	0
24	21.368	32.755	127.680	0.079	0.322	0.311	0.021	6
25	21.928	32.799	14.891	0.009	0.141	0.077	0.021	6
26	19.529	33.290	33.259	0.059	0.295	0.256	0.021	5
27	19.120	33.454	7.385	0.027	0.323	0.106	0.021	5
28	5.955	36.481	0.871	0.081	0.348	0.296	0.021	2
29	12.204	37.698	28.831	0.016	0.195	0.106	0.000	0
30	10.919	38.447	16.518	1.052	2.249	0.595	1.893	4
31	8.857	38.503	162.765	0.273	1.002	0.347	0.664	3
