1	0.339	0.3815	2	0.671015	6.76334
2	0.238112	0.375465	2	0.64419	5.73296
0	0	0	1	0.0890955	0.387221
4	0.109337	0.395857	1	1.155	2.68677
5	0.106823	0.389777	1	1.6474	1.87888
0	0	0	0	0.399	0.422617
7	0.152737	0.382689	2	0	0.105
8	0.137644	0.401913	1	0.396227	0.535397
9	0.1517	0.380752	1	1.44793	1.5608
10	0.175081	0.369319	2	1.02986	1.14252
0	0	0	1	1.68	1.81197
0	0	0	1	2.016	2.01359
0	0	0	1	0.190163	0.273
14	0.191882	0.383428	2	2.76092	2.76371
15	0.11181	0.367813	1	4.81409	4.84682
16	0.104062	0.364571	1	4.49405	5.72079
17	0.140067	0.395579	1	0.567	0.601349
0	0	0	1	0	0.0939149
19	0.108173	0.397396	1	0	0.263129
20	0.113689	0.411134	1	0.312187	0.963486
21	0.121441	0.400654	1	3.30555	5.08742
22	0.181664	0.40106	1	0	0.179424
23	0.187931	0.371551	1	0.127738	0.387221
24	0.141377	0.383122	2	0.168	0.380326
25	0.108713	0.380309	1	0.214159	0.462
26	0.133295	0.379704	2	1.89524	2.04737
27	0.126419	0.385251	1	2.27586	2.49829
28	0.149879	0.38016	2	6.44156	6.42329
29	0.121659	0.379903	1	4.96818	4.97416
0	0	0	0	6.45397	6.45933
31	0.174532	0.370105	2	8.27563	8.2748
