 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
48	1.431	2.195	0.015	0.044	1.804	2.075	2.940	0.163	0.021	0.040	3.942	0.001	0.057	4.894	0.025	0.000
49	1.461	1.939	0.018	0.022	1.933	2.359	2.087	0.056	0.020	0.004	4.075	6.071E-5	0.050	5.008	0.002	0.000
50	1.491	1.670	0.043	0.007	1.885	2.595	1.566	0.030	0.016	6.461E-5	4.107	1.639E-7	0.053	4.870	3.522E-5	0.000
51	1.521	1.660	0.027	8.459E-4	1.667	2.858	1.192	0.010	0.011	1.554E-7	4.111	0.000	0.056	4.690	1.464E-7	0.000
52	1.551	1.969	0.003	0.001	1.523	3.266	0.631	7.341E-4	9.498E-4	1.404E-11	3.552	0.000	0.050	4.709	0.000	0.000
53	1.580	2.406	7.565E-5	0.006	1.412	3.683	0.272	5.794E-6	1.875E-5	0.000	2.220	0.000	0.044	4.835	1.510E-6	0.000
54	1.610	2.858	1.699E-7	0.020	1.429	3.776	0.076	1.975E-8	4.472E-8	0.000	0.915	0.000	0.060	4.654	2.081E-4	0.000
55	1.640	2.966	0.000	0.042	1.530	3.514	0.006	0.000	0.000	0.000	0.295	0.000	0.108	3.884	0.003	0.000
56	1.670	2.637	0.000	0.046	1.572	3.145	2.911E-5	0.000	0.000	0.000	0.102	0.000	0.183	2.815	0.009	0.000
57	1.700	1.845	0.000	9.245E-4	1.656	2.816	0.000	0.000	0.000	0.000	0.034	0.000	0.212	1.873	0.011	0.000
58	1.729	0.956	0.000	0.000	1.817	2.628	0.000	0.000	0.000	0.000	0.006	0.000	0.060	1.246	0.008	0.000
59	1.759	0.435	0.000	0.000	1.859	2.715	0.000	0.000	0.000	0.000	4.671E-4	0.000	0.009	0.908	0.002	0.000
60	1.789	0.208	0.000	0.000	1.274	2.993	0.000	0.000	0.000	0.000	8.813E-6	0.000	0.002	0.732	7.280E-5	0.000
61	1.819	0.072	0.000	0.000	0.203	3.120	0.000	0.000	0.000	0.000	4.837E-9	0.000	1.113E-4	0.555	3.640E-9	0.000
62	1.849	0.024	0.000	0.000	0.001	2.914	0.000	0.000	0.000	0.000	0.000	0.000	5.906E-7	0.357	0.000	0.000
63	1.879	0.019	0.000	0.000	0.000	2.610	0.000	0.000	0.000	0.000	0.000	0.000	9.633E-10	0.219	0.000	0.000
64	1.908	0.028	0.000	0.000	0.000	2.468	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.146	0.000	0.000
65	1.938	0.031	0.000	0.000	0.000	2.380	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.121	0.000	0.000
66	1.968	0.010	0.000	0.000	0.000	2.222	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.114	0.000	0.000
67	1.998	2.473E-4	0.000	0.000	0.000	2.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.096	0.000	0.000
68	2.028	0.000	0.000	0.000	0.000	2.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
