 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
35	1.044	8.462	6.099	7.593	11.570	9.198	12.716	12.616	10.748	5.962	4.100	6.381	1.943	3.698	4.266	10.244	8.811	4.115	5.080	3.494	3.665	2.271
36	1.073	11.697	6.452	8.326	12.944	8.336	14.421	10.499	11.025	7.048	4.944	6.558	1.880	3.395	5.123	11.453	8.470	3.406	4.382	2.984	3.606	2.145
37	1.103	9.495	6.362	9.752	12.669	8.140	17.278	8.538	10.014	7.499	4.937	6.763	2.055	3.177	6.025	11.080	8.584	2.815	3.477	2.650	3.817	1.499
38	1.133	4.290	6.361	7.130	12.125	8.461	19.182	7.261	8.064	6.672	4.407	6.744	2.212	2.998	6.729	9.651	9.259	2.561	2.475	2.759	3.999	1.034
39	1.163	0.000	7.131	4.246	12.963	8.866	17.651	6.724	6.145	5.518	4.030	6.399	2.162	2.782	7.089	8.527	10.114	2.423	1.611	3.316	3.960	1.018
40	1.193	0.000	8.685	0.000	13.737	8.952	13.627	6.719	5.184	5.028	4.377	6.033	2.107	2.721	6.963	8.025	10.646	2.175	1.153	3.943	3.859	1.470
41	1.223	0.000	9.433	0.000	14.182	8.608	10.337	6.897	4.916	5.421	5.564	5.309	2.237	3.271	6.476	8.341	10.026	1.801	1.151	4.013	4.140	2.161
42	1.252	0.000	7.430	0.000	12.564	8.242	9.216	6.987	4.910	6.219	6.963	4.162	2.547	4.797	6.134	9.007	8.432	1.517	1.660	3.619	5.232	2.564
43	1.282	0.000	4.049	0.000	10.268	8.236	9.398	6.916	4.943	6.767	7.584	3.230	2.833	6.316	6.395	9.182	6.981	1.354	2.635	3.429	6.742	2.639
44	1.312	0.000	1.848	0.000	8.679	8.511	9.374	6.966	4.877	6.529	7.523	2.462	3.275	5.793	6.901	8.836	6.217	1.114	3.424	4.043	7.178	2.411
45	1.342	0.000	0.916	0.000	8.075	8.780	8.551	7.480	4.837	5.787	7.454	1.658	3.950	3.367	7.278	8.518	5.418	0.707	3.555	6.080	5.708	1.947
46	1.372	0.000	0.610	0.000	8.268	8.724	7.021	8.249	4.823	4.839	7.495	1.051	4.493	1.477	7.096	8.939	4.220	0.296	3.457	10.268	3.344	1.672
47	1.401	0.000	0.597	0.000	9.083	8.262	5.457	8.623	4.766	4.138	7.218	0.823	4.735	0.790	6.271	9.626	2.939	0.100	3.961	15.876	1.525	1.807
48	1.431	0.000	0.619	0.000	10.158	7.844	4.041	8.367	4.602	3.812	6.453	0.953	4.679	0.735	4.942	9.581	1.970	0.038	4.490	18.776	0.565	1.843
49	1.461	0.000	0.574	0.000	10.668	7.787	3.125	8.015	4.349	3.378	5.765	1.410	4.148	0.918	3.707	8.494	1.330	0.017	3.918	16.741	0.209	1.390
50	1.491	0.000	0.487	0.000	8.482	7.932	2.838	8.073	4.085	2.960	5.897	1.911	3.346	1.226	3.044	7.240	0.839	0.005	2.246	12.836	0.073	0.990
51	1.521	0.000	0.331	0.000	7.301	8.049	3.288	8.533	3.881	2.803	7.135	1.864	2.598	1.752	3.032	6.847	0.445	2.918E-4	0.884	9.940	0.018	0.755
52	1.551	0.000	0.143	0.000	6.170	8.169	4.324	8.981	3.733	2.648	8.949	1.251	2.237	2.294	3.522	6.923	0.224	1.195E-5	0.222	7.986	0.004	0.000
53	1.580	0.000	0.053	0.000	5.094	8.301	5.184	9.305	3.571	2.118	9.361	0.819	2.085	1.852	4.117	6.341	0.164	3.297E-4	0.050	6.171	0.002	0.000
54	1.610	0.000	0.028	0.000	4.045	8.309	4.981	9.671	3.474	1.460	7.707	0.716	2.019	0.720	4.338	5.323	0.181	2.926E-4	0.012	4.298	0.001	0.000
55	1.640	0.000	0.023	0.000	3.190	8.297	3.801	9.432	3.723	1.070	5.895	0.720	1.984	0.181	4.450	5.241	0.140	4.159E-5	0.003	2.613	0.001	0.000
56	1.670	0.000	0.007	0.000	2.542	8.577	2.442	8.129	4.497	0.853	5.041	0.658	1.932	0.100	4.731	6.540	0.076	1.442E-6	1.335E-4	1.491	0.001	0.000
57	1.700	0.000	0.000	0.000	2.141	9.123	1.539	6.713	4.552	0.661	5.022	0.564	2.073	0.081	5.134	9.147	0.080	0.000	6.961E-6	0.908	0.001	0.000
58	1.729	0.000	0.000	0.000	2.038	9.573	1.256	6.009	3.186	0.454	5.625	0.514	2.228	0.031	5.250	11.720	0.102	0.000	0.000	0.685	0.002	0.000
59	1.759	0.000	0.000	0.000	1.943	9.833	1.330	5.926	0.734	0.343	6.426	0.509	2.012	0.003	4.933	12.733	0.065	0.000	0.000	0.699	0.002	0.000
60	1.789	0.000	0.000	0.000	0.479	9.842	1.198	5.806	0.000	0.384	6.583	0.502	1.059	3.262E-5	4.262	12.409	0.012	0.000	0.000	0.969	0.001	0.000
61	1.819	0.000	0.000	0.000	0.000	9.124	0.846	5.507	0.000	0.315	6.136	0.488	0.199	1.034E-7	3.642	12.518	0.003	0.000	0.000	1.561	7.823E-4	0.000
62	1.849	0.000	0.000	0.000	0.000	7.731	0.632	5.406	0.000	0.168	5.711	0.436	0.017	0.000	3.127	13.855	0.001	0.000	0.000	2.307	1.124E-4	0.000
63	1.879	0.000	0.000	0.000	0.000	6.443	0.750	5.537	0.000	0.090	5.527	0.386	0.009	0.000	2.480	15.565	0.000	0.000	0.000	2.638	7.471E-6	0.000
64	1.908	0.000	0.000	0.000	0.000	5.668	0.950	5.598	0.000	0.039	5.520	0.379	0.004	0.000	1.862	16.579	0.000	0.000	0.000	2.032	5.849E-6	0.000
65	1.938	0.000	0.000	0.000	0.000	5.303	0.915	5.730	0.000	0.060	5.816	0.293	0.029	0.000	1.558	16.563	0.000	0.000	0.000	0.972	1.756E-6	0.000
66	1.968	0.000	0.000	0.000	0.000	5.350	0.367	6.432	0.000	0.139	6.499	0.128	0.070	0.000	1.595	16.050	0.000	0.000	0.000	0.337	1.906E-7	0.000
67	1.998	0.000	0.000	0.000	0.000	5.630	0.031	7.861	0.000	0.197	7.056	0.049	0.084	0.000	1.745	15.432	0.000	0.000	0.000	0.099	0.000	0.000
68	2.028	0.000	0.000	0.000	0.000	5.757	0.000	0.000	0.000	0.000	6.852	0.020	0.078	0.000	1.899	14.916	0.000	0.000	0.000	0.042	2.086E-8	0.000
69	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.240E-8	0.000
