 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
47	1.401	1.694	0.024	0.037	1.870	1.111	3.464	0.324	0.000	5.646E-6	3.994	5.828E-7	0.003	5.855	9.880E-7	0.000
48	1.431	1.894	0.013	0.030	2.141	1.409	2.545	0.111	0.000	0.000	3.788	5.180E-7	3.306E-4	6.001	0.000	0.000
49	1.461	2.027	0.036	0.003	2.416	1.764	1.815	0.045	0.000	0.000	3.685	0.000	1.550E-5	5.904	0.000	0.000
50	1.491	1.988	0.094	4.503E-4	2.568	1.854	1.370	0.036	0.000	0.000	4.151	0.000	5.088E-8	5.322	0.000	0.000
51	1.521	2.047	0.060	1.612E-5	2.607	1.788	0.965	0.014	0.000	0.000	5.177	0.000	0.000	4.874	0.000	0.000
52	1.551	2.299	0.007	5.369E-5	2.715	1.960	0.508	0.001	0.000	0.000	5.318	0.000	0.000	5.119	0.000	0.000
53	1.580	2.521	1.662E-4	1.038E-4	2.790	2.469	0.219	8.085E-6	0.000	0.000	3.714	0.000	0.000	6.058	4.868E-6	0.000
54	1.610	2.660	3.739E-7	3.415E-4	2.613	2.942	0.061	2.766E-8	0.000	0.000	1.627	0.000	0.000	6.771	9.513E-4	0.000
55	1.640	2.297	0.000	3.209E-4	2.414	2.979	0.005	0.000	0.000	0.000	0.508	0.000	0.000	5.865	0.017	0.000
56	1.670	1.657	0.000	1.271E-4	2.569	2.704	3.119E-5	0.000	0.000	0.000	0.174	0.000	0.000	3.376	0.039	0.000
57	1.700	0.571	0.000	9.241E-5	3.101	2.504	0.000	0.000	0.000	0.000	0.076	0.000	0.000	1.177	0.025	0.000
58	1.729	0.000	0.000	0.000	3.693	2.597	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.274	4.793E-4	0.000
59	1.759	0.000	0.000	0.000	3.751	3.009	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.070	0.000	0.000
60	1.789	0.000	0.000	0.000	1.867	3.573	0.000	0.000	0.000	0.000	3.497E-5	0.000	0.000	0.045	0.000	0.000
61	1.819	0.000	0.000	0.000	0.038	3.734	0.000	0.000	0.000	0.000	1.085E-7	0.000	0.000	0.020	0.000	0.000
62	1.849	0.000	0.000	0.000	0.000	3.197	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000
63	1.879	0.000	0.000	0.000	0.000	2.577	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.087E-5	0.000	0.000
64	1.908	0.000	0.000	0.000	0.000	2.370	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.637E-7	0.000	0.000
65	1.938	0.000	0.000	0.000	0.000	2.466	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.027E-5	0.000	0.000
66	1.968	0.000	0.000	0.000	0.000	2.676	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000
67	1.998	0.000	0.000	0.000	0.000	2.964	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.000	0.000
68	2.028	0.000	0.000	0.000	0.000	3.263	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
