 	x	1	2	3	4	5	6	7
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	3.962	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	13.706	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	24.884	0.000	0.000	0.000	2.772	0.000
6	0.180	0.000	35.542	0.000	0.000	0.000	11.308	0.000
7	0.210	0.131	41.202	0.000	0.000	0.000	20.400	0.000
8	0.240	3.173	44.260	0.170	8.800	0.000	34.532	0.000
9	0.270	12.371	47.382	5.464	23.600	0.000	50.788	0.000
10	0.300	29.180	48.474	20.211	50.700	10.500	63.104	0.416
11	0.330	52.320	44.277	46.912	79.000	21.200	67.700	8.642
12	0.360	68.315	34.306	73.471	97.300	39.400	66.216	20.545
13	0.390	64.370	25.012	78.340	100.200	56.600	62.320	30.932
14	0.419	46.217	22.600	58.272	86.100	58.200	58.200	43.340
15	0.449	29.630	29.016	30.706	60.400	41.800	55.092	53.748
16	0.479	26.074	40.826	12.295	33.500	22.300	53.740	59.522
17	0.509	34.497	51.982	3.057	15.900	10.100	53.364	60.100
18	0.539	47.563	58.808	0.031	0.000	0.000	52.716	53.362
19	0.569	55.437	62.348	0.000	0.000	0.000	50.400	40.633
20	0.599	55.617	60.576	0.000	0.000	0.000	48.168	26.504
21	0.629	52.012	50.335	0.000	0.000	0.000	47.564	16.514
22	0.659	47.177	33.591	0.000	0.000	0.000	47.632	5.076
23	0.689	41.668	18.161	0.000	0.000	0.000	48.120	0.000
24	0.719	38.265	9.341	0.000	0.000	0.000	50.008	0.000
25	0.749	37.644	0.384	0.000	0.000	0.000	53.204	0.000
26	0.000	0.000	0.000	0.000	0.000	0.000	57.112	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
