 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
17	0.502	0.000	0.000	5.880	0.432	21.118	19.631	3.025	1.400	9.272	1.120	0.908	2.316	0.278	10.061	2.672	57.301	51.794	4.319	0.378	0.502	9.687	11.885	0.000	29.018	7.673	16.141	14.400	15.455	9.672	11.800	22.899	7.685	6.469	32.545	3.256	7.872	4.429	0.733	5.500	10.270	19.680	2.532	8.015	16.172	0.000
18	0.531	0.000	0.000	2.079	0.052	15.613	13.390	0.814	0.000	4.656	0.145	0.102	0.900	0.000	6.285	0.134	64.196	52.176	1.313	0.124	0.000	4.160	3.948	0.000	18.360	4.220	8.939	0.000	14.532	3.276	11.943	23.153	1.555	5.031	24.418	0.994	2.852	1.719	0.029	0.000	4.025	12.790	0.801	2.959	6.807	0.000
19	0.561	0.000	0.000	0.192	0.000	10.313	7.421	0.000	0.000	1.954	0.000	0.000	0.181	0.000	2.867	0.000	67.285	46.246	0.083	0.000	0.000	1.695	0.329	0.000	10.117	1.420	1.262	0.000	13.729	0.000	8.822	21.587	4.789	3.152	17.247	0.000	0.600	0.828	0.000	0.000	0.825	6.849	0.042	0.481	1.748	0.000
20	0.590	0.000	0.000	0.000	0.000	6.344	2.254	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.232	0.000	63.975	33.526	0.000	0.000	0.000	0.315	0.000	0.000	5.055	0.000	0.000	0.000	1.357	0.000	4.220	19.932	11.289	0.156	12.789	0.000	0.000	0.135	0.000	0.000	0.000	3.158	0.000	0.000	0.000	0.000
21	0.620	0.000	0.000	0.000	0.000	3.540	1.493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52.841	19.855	0.000	0.000	0.000	0.000	0.000	1.500	0.587	0.000	0.000	0.000	0.000	0.000	1.499	19.120	22.449	0.000	7.242	0.000	0.000	0.000	0.257	0.000	0.000	0.780	0.000	0.000	0.000	0.000
22	0.649	0.000	0.000	0.000	0.000	2.422	0.829	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	35.570	10.856	0.000	0.000	0.000	0.000	0.000	1.500	0.000	0.186	0.191	0.000	0.012	0.000	0.000	15.173	34.863	0.000	0.216	0.000	0.000	0.000	2.152	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0.679	0.000	0.000	0.000	0.000	4.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.945	0.000	19.157	2.696	0.000	0.000	0.000	0.000	0.000	1.500	0.000	11.202	1.231	0.000	0.109	0.000	0.000	11.930	46.994	0.000	0.000	3.595	0.000	0.000	7.437	0.000	0.000	0.000	0.727	0.000	0.000	0.000
24	0.708	0.000	0.000	0.000	0.000	6.677	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.390	0.000	7.427	0.000	0.000	0.000	0.000	0.000	0.000	1.400	0.000	26.199	2.603	0.000	3.582	0.000	0.000	13.599	55.119	0.000	0.000	13.117	0.000	0.000	14.184	0.000	0.000	0.000	2.618	0.000	0.000	0.000
25	0.738	0.000	0.000	0.000	0.000	7.498	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.994	0.000	1.703	0.000	0.000	0.000	0.000	0.000	0.000	1.300	0.000	40.281	4.328	17.200	2.957	0.000	0.000	16.743	58.747	11.655	0.000	24.482	0.000	0.000	17.819	0.000	0.000	0.000	4.883	0.000	0.000	0.000
26	0.767	0.000	0.000	0.000	0.000	7.440	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	28.467	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.200	0.000	57.938	5.771	20.400	2.500	0.000	0.000	23.457	58.936	32.367	0.000	34.676	0.000	0.000	16.351	0.000	0.000	0.000	7.031	0.000	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.300	0.000	0.000	0.000	0.000	2.244	0.000	0.000	0.000	0.000	0.000	0.000	43.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
