 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
17	0.502	0.000	0.000	2.684	0.000	29.953	28.647	3.651	1.000	6.628	5.902	1.720	12.425	4.711	3.577	1.529	85.060	45.837	4.514	1.744	0.542	34.290	6.714	0.000	3.478	8.338	18.250	12.200	19.501	7.638	15.792	16.296	15.867	9.571	33.305	4.257	4.384	7.989	1.755	3.500	10.587	20.128	3.351	0.809	15.095	0.000
18	0.531	0.000	0.000	0.668	0.000	17.289	10.627	0.526	0.000	2.080	0.000	0.461	6.133	1.038	1.158	0.000	74.706	53.765	1.647	0.116	0.000	25.398	1.959	0.000	1.022	5.680	10.100	6.200	4.165	0.271	19.160	16.168	6.379	3.393	28.376	0.493	2.488	3.860	0.156	0.000	4.322	10.869	1.060	0.000	5.997	0.000
19	0.561	0.000	0.000	0.000	0.000	8.068	0.000	0.000	0.000	0.000	0.000	0.014	1.618	0.000	0.158	0.049	54.923	56.107	1.035	0.000	0.000	18.300	0.185	0.000	0.024	2.929	8.241	6.300	0.000	0.000	22.093	14.768	0.003	0.000	24.254	0.000	0.604	0.275	0.012	0.000	1.323	4.456	0.040	0.000	1.298	0.000
20	0.590	0.000	0.000	0.000	0.000	1.188	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.074	31.432	54.852	0.000	0.000	0.000	13.494	0.000	0.000	0.000	0.582	9.799	5.700	0.000	0.000	23.126	11.976	0.000	0.000	15.775	0.000	0.000	0.000	0.561	0.000	0.047	1.334	0.000	0.000	1.549	0.000
21	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.287	13.215	53.333	0.000	0.000	0.000	9.476	0.000	0.000	0.000	0.000	20.717	2.900	0.000	0.000	22.233	8.952	0.236	0.000	7.848	0.066	0.000	0.000	3.037	0.000	0.000	0.250	0.000	0.000	4.964	0.000
22	0.649	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.406	3.880	54.646	0.000	0.000	0.000	8.012	0.000	0.000	0.000	0.000	22.814	1.000	0.000	0.000	20.699	7.692	0.626	0.000	2.378	3.648	0.000	0.000	11.406	0.000	0.000	0.000	0.000	0.000	9.772	0.000
23	0.679	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.812	0.000	58.787	0.000	0.000	0.000	8.750	0.000	0.000	0.000	0.000	25.263	0.000	0.489	0.000	19.983	5.992	1.794	0.000	0.000	11.102	0.000	0.000	27.202	0.000	0.000	0.000	0.000	0.000	13.780	0.000
24	0.708	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38.840	0.000	64.829	0.000	0.000	0.000	11.715	0.000	0.000	0.000	0.000	28.018	0.000	1.137	0.000	17.871	5.707	8.553	0.000	0.000	23.693	0.000	0.000	44.807	0.000	0.000	0.000	0.000	0.000	14.023	0.000
25	0.738	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	49.488	0.000	69.111	0.000	0.000	0.000	14.808	0.000	0.000	0.000	1.024	30.225	18.100	1.740	4.353	15.862	5.286	13.199	0.523	0.000	38.293	0.000	0.000	54.298	0.000	0.000	0.000	0.000	0.000	11.133	0.000
26	0.767	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	53.187	0.000	66.832	0.000	0.000	0.000	18.113	0.000	0.000	0.000	12.354	30.515	21.500	2.159	0.000	17.924	0.000	18.482	3.356	0.000	48.177	0.000	0.000	52.753	0.000	0.000	0.000	0.000	0.000	7.175	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	53.731	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	50.849	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
