 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
17	0.502	0.000	0.000	22.718	32.244	31.462	63.925	26.628	1.700	15.500	10.024	3.684	4.254	38.559	15.960	31.753	12.338	48.920	45.920	2.612	63.642	56.836	16.426	73.100	60.875	18.971	22.584	15.800	26.561	14.176	12.146	20.024	25.740	11.040	20.587	7.940	18.385	49.696	4.506	6.300	19.357	45.942	2.044	29.072	25.013	0.000
18	0.531	0.000	0.000	13.258	17.838	18.298	35.624	13.854	0.000	8.684	3.116	1.058	0.327	24.572	8.676	18.353	23.914	39.630	32.861	0.489	61.506	62.568	5.640	73.200	44.474	17.027	22.893	0.000	24.279	1.871	10.696	14.336	15.648	10.950	29.013	2.883	10.727	34.199	1.168	0.000	10.081	53.136	0.208	18.037	12.609	0.000
19	0.561	0.000	0.000	7.292	7.812	4.922	8.242	5.298	0.000	1.973	0.026	0.032	0.000	12.929	4.401	9.889	36.134	25.758	18.642	0.000	52.510	62.470	1.411	73.700	27.981	14.136	18.382	0.000	4.862	0.000	10.124	10.261	1.621	5.983	37.988	0.000	6.930	19.319	0.000	0.000	4.182	53.102	0.000	8.844	3.742	0.000
20	0.590	0.000	0.000	0.700	1.624	0.000	0.000	0.507	0.000	0.000	0.000	0.000	0.000	5.661	0.236	3.772	46.601	13.308	9.261	0.000	38.008	57.808	0.028	69.800	15.595	8.462	18.799	0.000	0.000	0.000	5.495	14.438	0.000	0.000	46.276	0.000	2.287	11.063	0.074	0.000	0.054	42.825	0.000	3.355	0.000	0.000
21	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.403	0.000	0.199	51.334	1.614	0.154	0.000	22.637	46.735	0.000	60.200	6.367	0.641	19.235	0.000	0.152	0.000	7.697	19.896	0.799	0.000	53.623	0.009	0.013	3.909	0.743	0.000	0.000	26.475	0.000	0.192	0.000	0.000
22	0.649	0.000	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	48.332	0.000	0.000	0.000	10.157	31.161	0.000	48.100	0.037	0.000	20.816	0.000	17.626	0.000	11.640	21.782	8.328	0.000	59.047	1.408	0.000	0.000	3.006	0.000	0.000	12.666	0.000	0.000	0.000	0.000
23	0.679	0.000	0.000	0.000	0.000	4.795	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38.620	0.000	0.000	0.000	1.390	16.810	0.000	40.200	0.000	0.000	25.116	0.000	27.585	0.000	15.824	23.474	16.249	0.000	62.448	7.687	0.000	0.000	10.704	0.000	0.000	5.081	0.000	0.000	0.743	0.000
24	0.708	0.000	0.000	0.000	0.000	13.664	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.258	0.000	25.326	0.000	0.000	0.000	0.000	5.729	0.000	31.600	0.000	2.116	28.436	0.000	36.082	0.000	19.390	24.383	24.051	4.644	64.586	18.191	0.000	0.000	25.284	0.000	0.000	0.817	0.041	0.000	0.812	0.000
25	0.738	0.000	0.000	0.000	0.000	26.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.095	0.000	12.859	0.000	0.000	0.000	0.000	0.151	0.000	35.500	0.000	10.337	28.229	17.900	45.084	0.450	22.089	24.778	31.537	19.499	66.583	31.201	0.000	0.000	38.868	0.000	0.000	0.000	0.710	0.000	0.529	0.000
26	0.767	0.000	0.000	0.000	0.000	42.456	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38.100	0.000	22.717	25.835	20.600	51.024	0.000	23.397	25.081	39.530	30.416	68.243	42.559	0.000	0.000	43.208	0.000	0.000	0.000	0.797	0.000	0.210	0.000
27	0.797	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	43.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	47.800	0.000	0.000	48.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
