 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	28.342	1.856	86.974	0.371	2.544	0.186	2.286	35
2	28.322	6.037	90.000	0.021	0.163	0.161	0.030	36
3	28.312	6.647	49.963	0.029	0.203	0.180	0.030	37
4	28.022	8.117	65.028	0.022	0.194	0.148	0.042	33
5	28.610	8.255	117.193	0.030	0.225	0.167	0.042	33
6	21.080	9.749	45.000	0.020	0.166	0.151	0.000	0
7	29.735	11.675	0.000	0.021	0.163	0.161	0.000	0
8	0.081	12.969	120.668	0.032	0.235	0.175	0.000	0
9	22.157	13.559	96.909	0.189	1.317	0.183	1.008	14
10	6.054	15.152	147.455	0.091	0.624	0.185	0.459	2
11	22.635	15.769	0.000	0.021	0.163	0.161	0.000	0
12	6.322	16.283	20.505	0.025	0.201	0.159	0.030	3
13	10.475	17.856	156.278	0.945	3.549	0.339	4.353	4
14	11.190	17.257	0.000	0.018	0.169	0.135	0.060	5
15	22.381	18.917	74.669	0.206	1.180	0.223	1.023	16
16	12.526	18.634	134.937	0.023	0.215	0.138	0.085	6
17	16.193	18.968	84.550	0.078	0.392	0.254	0.030	9
18	15.762	20.266	12.492	0.024	0.193	0.160	0.030	7
19	16.391	20.640	146.490	0.240	0.951	0.321	0.603	8
20	21.267	21.814	162.771	0.880	2.604	0.430	3.305	10
21	20.838	21.290	160.575	0.049	0.296	0.212	0.072	11
22	22.582	21.601	41.982	0.048	0.340	0.178	0.217	17
23	22.240	21.578	157.021	0.033	0.311	0.136	0.175	15
24	22.885	22.126	91.585	0.111	0.563	0.252	0.579	21
25	24.350	23.051	152.782	1.142	2.718	0.535	3.280	22
26	30.507	22.472	52.995	0.049	0.463	0.136	0.327	49
27	22.529	22.864	90.848	0.038	0.250	0.192	0.115	19
28	22.023	23.397	157.878	0.441	2.513	0.223	2.372	12
29	22.573	23.180	27.637	0.043	0.301	0.182	0.115	19
30	28.811	23.267	18.561	0.028	0.230	0.154	0.030	41
31	23.922	23.448	158.994	0.053	0.357	0.189	0.217	23
32	29.501	23.539	94.602	0.034	0.325	0.134	0.192	43
33	29.872	23.546	45.000	0.030	0.201	0.188	0.192	43
34	29.273	23.987	178.227	0.513	1.317	0.495	2.076	40
35	28.436	23.802	60.986	0.032	0.228	0.180	0.626	34
36	26.496	23.999	171.947	0.279	1.404	0.253	1.310	27
37	24.506	24.039	154.924	0.114	0.498	0.291	0.199	24
38	25.569	24.031	101.170	0.026	0.201	0.165	1.310	27
39	27.548	24.176	58.102	0.114	0.450	0.323	0.481	30
40	28.110	24.268	38.831	0.202	0.643	0.400	0.626	34
41	29.949	24.335	165.625	0.092	0.560	0.210	0.481	47
42	27.818	24.821	174.466	1.526	2.589	0.750	0.060	31
43	30.247	24.996	43.557	0.618	1.127	0.698	1.609	45
44	27.213	24.499	59.376	0.031	0.230	0.169	0.042	29
45	27.668	24.582	0.000	0.008	0.101	0.101	0.060	31
46	29.736	24.725	37.094	0.075	0.421	0.225	0.169	44
47	30.515	25.651	83.478	0.055	0.346	0.201	0.132	50
48	27.714	27.718	59.219	0.138	0.616	0.286	0.439	32
49	27.366	28.359	177.822	0.315	1.290	0.311	1.442	28
50	29.832	28.672	94.185	0.429	0.810	0.674	1.298	42
51	30.567	29.428	103.627	0.048	0.348	0.174	0.132	51
