 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
15	0.449	3.832	12.100	18.787	14.341	20.333	36.261	19.900	28.146	5.540	22.827	25.700	19.610	104.689	36.700	46.767	18.646	26.653	19.366	26.298	38.134	28.891	19.411	17.149	25.224	79.573	13.656	29.600	11.277	26.617	26.243	26.648	18.972	37.679	21.856	30.488	42.296	38.775	30.293	42.654	27.361	15.920	0.000	6.878	36.614	27.300	26.852	34.354	21.010	33.795	21.512	12.785
16	0.479	1.893	8.200	15.232	5.859	15.669	19.564	17.200	20.293	3.010	14.619	16.700	8.272	97.777	21.200	45.376	11.275	19.893	10.580	18.881	39.475	21.173	13.385	16.035	25.671	77.953	8.672	21.600	10.098	15.896	15.249	21.256	18.407	25.089	18.296	22.864	38.418	28.185	23.497	43.276	24.081	15.151	0.000	3.629	25.815	23.800	22.156	20.643	23.123	32.115	24.601	4.721
17	0.509	0.859	4.600	11.086	2.551	6.344	6.973	14.300	9.472	0.789	7.296	9.500	1.532	85.334	12.100	35.719	5.582	12.903	4.140	11.838	39.114	13.602	8.362	14.210	16.820	71.408	5.464	14.200	7.353	6.304	3.009	15.804	2.910	13.949	15.812	16.468	32.871	17.803	6.756	40.466	18.116	12.420	0.000	1.097	18.090	2.300	21.556	11.951	24.077	26.831	26.680	0.000
18	0.539	0.441	0.000	6.920	0.330	1.581	1.924	0.000	1.496	0.000	3.408	0.000	0.040	70.256	0.000	21.564	0.856	7.610	0.159	6.112	36.822	7.472	3.655	11.473	2.125	60.060	1.620	11.500	4.177	2.441	0.000	10.923	0.371	7.342	14.764	11.194	27.115	9.787	0.000	35.799	17.691	9.734	0.000	0.000	11.096	6.200	19.996	3.499	22.382	19.903	27.041	0.000
19	0.569	0.000	0.000	3.005	0.000	0.000	0.072	0.000	0.000	0.000	1.141	0.000	0.000	52.286	0.000	9.473	0.000	3.480	0.000	3.112	33.065	3.636	0.109	6.806	0.318	46.624	0.044	3.700	1.996	2.823	0.000	0.984	5.982E-5	2.421	0.364	5.869	21.615	2.891	0.000	30.290	16.970	9.176	0.000	0.051	1.037	6.400	22.660	0.029	15.990	11.527	26.025	0.000
20	0.599	0.000	0.000	0.137	0.000	0.000	0.000	0.000	0.000	0.000	0.106	0.000	0.000	34.624	0.000	1.531	0.000	0.689	0.000	0.957	27.472	0.497	0.000	5.231	18.265	34.501	0.000	3.200	0.824	8.926	0.000	0.000	6.620	0.000	0.000	13.082	8.130	0.000	0.000	28.489	15.477	6.023	0.000	0.000	1.506	13.900	23.420	0.000	8.047	0.318	24.629	0.000
21	0.629	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.709	0.000	0.000	0.000	0.000	0.000	0.000	21.241	0.000	0.000	4.830	26.638	26.153	0.000	1.100	0.034	16.214	0.000	8.884	14.390	0.000	0.000	23.233	0.014	0.000	2.752	22.555	9.147	2.666	0.501	0.000	9.995	25.200	24.480	0.000	1.741	0.000	23.144	0.000
22	0.659	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.065	0.000	0.000	0.000	0.000	0.000	0.000	12.850	0.000	0.255	3.933	38.982	13.441	0.000	0.000	0.000	21.331	0.000	30.383	18.451	0.000	0.000	27.887	0.000	0.000	8.392	23.810	16.287	0.802	14.563	0.000	18.077	26.100	26.356	0.000	0.000	0.000	20.540	0.000
23	0.689	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.412	0.000	1.627	2.597	55.744	0.253	0.000	0.000	0.000	27.784	0.000	45.539	21.955	0.000	0.000	28.709	0.000	0.000	14.239	28.667	25.482	0.000	18.225	0.000	22.942	25.400	28.356	0.000	0.000	0.000	17.760	0.000
24	0.719	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.153	0.000	4.594	1.197	70.782	0.000	0.000	0.000	0.000	33.268	0.000	62.662	24.440	0.878	0.541	28.227	0.000	0.000	23.699	30.377	27.714	0.000	19.264	0.000	27.354	25.000	30.556	0.000	0.000	0.000	16.014	0.000
25	0.749	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.176	0.000	80.245	0.000	0.000	0.000	0.000	40.575	2.667	74.127	24.592	0.391	16.142	26.583	0.000	0.000	31.243	29.312	30.761	0.000	21.077	0.000	29.156	26.300	32.068	0.000	0.142	0.000	5.239	0.000
26	0.779	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.096	0.000	82.796	0.000	0.000	0.000	0.000	48.179	11.104	0.000	0.000	2.374	22.258	23.916	0.000	0.000	0.000	27.019	0.000	0.000	24.317	0.000	0.000	29.300	33.268	0.000	0.032	0.000	1.156	0.000
