 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
12	0.361	23.600	20.456	6.651	28.378	21.163	21.285	33.072	66.746	42.733	45.410	32.800	62.643	4.300	26.871	30.633	13.263	25.308	31.773	5.425	38.560	9.620	20.324	25.137	24.442	6.631	36.425	20.293	27.589	37.283	13.372	23.684	27.711	24.329	16.853	15.400	36.957	30.899	28.597	36.133	31.509	65.997	24.039	20.000	31.644	20.400	32.740	41.400	34.300	14.862	37.263	10.500	29.063	21.600	10.567	0.189	35.091	29.100	54.154	52.292	22.076	17.908	7.814	0.000	19.011	12.450	24.471
13	0.391	41.000	11.040	17.030	23.077	36.452	14.455	39.047	60.920	50.130	39.474	38.900	84.881	5.200	35.303	31.420	13.947	24.034	33.297	7.319	43.211	12.049	27.296	30.191	30.071	7.897	39.726	18.263	29.138	42.833	18.847	21.829	26.762	38.787	21.976	17.100	44.484	38.061	34.876	34.515	38.036	71.303	25.054	21.100	38.802	19.100	28.943	44.100	41.900	14.184	31.847	11.000	28.596	27.400	16.216	0.374	28.751	29.200	55.480	53.411	15.476	9.653	9.896	0.000	14.431	19.605	25.470
14	0.421	55.200	3.197	32.765	14.681	51.759	7.184	38.283	48.958	52.756	28.585	33.300	100.775	5.100	35.752	25.515	12.676	15.472	25.399	7.402	33.655	11.757	27.261	28.499	26.604	9.421	31.659	13.128	26.936	41.467	18.078	17.114	28.026	52.856	19.943	14.900	45.942	37.360	31.729	27.120	34.195	67.593	19.845	16.200	40.190	14.000	17.969	38.600	44.200	13.205	24.419	9.100	23.239	13.000	17.362	0.092	24.293	24.000	50.601	45.502	8.688	4.644	11.959	0.000	8.230	26.921	20.817
15	0.451	45.200	1.597	48.482	7.472	62.935	3.023	30.745	33.856	49.137	17.403	20.700	109.342	3.800	28.403	16.578	11.747	7.105	14.150	6.206	16.595	9.187	20.994	19.733	17.085	10.967	17.272	6.822	21.789	35.050	11.649	11.453	30.904	59.075	13.064	9.400	38.828	29.100	20.658	17.057	24.189	60.376	11.906	8.600	34.862	8.100	7.808	27.700	40.100	11.453	17.287	7.500	15.620	0.000	12.513	0.000	24.458	15.400	46.183	30.286	4.256	0.380	13.212	0.000	4.225	34.136	13.126
16	0.481	14.100	0.000	56.731	3.519	68.465	1.283	20.467	20.766	37.400	9.728	10.300	108.976	3.000	18.318	9.444	10.841	2.852	6.940	4.759	5.270	5.532	12.186	10.030	7.626	11.316	7.171	2.851	15.127	26.040	6.080	7.236	35.536	51.639	5.940	4.500	25.705	17.797	9.817	9.463	13.337	55.766	5.891	3.300	24.732	4.200	2.567	16.300	31.000	9.323	10.400	6.000	8.038	0.000	5.543	0.000	29.145	7.700	49.224	17.635	1.724	0.000	13.343	0.000	1.877	41.054	5.124
17	0.511	14.100	0.000	56.618	0.691	67.369	0.146	12.375	11.879	22.164	5.339	0.000	97.985	2.300	10.824	5.497	9.068	1.177	0.457	2.981	1.105	2.459	5.586	4.191	1.708	10.482	2.839	0.829	8.971	17.371	2.514	4.538	37.923	32.164	1.652	2.100	14.025	9.123	4.017	4.614	5.820	55.684	2.822	0.000	14.401	0.000	0.557	7.100	20.600	6.487	1.654	0.000	2.742	0.000	1.030	0.000	34.487	0.000	61.393	9.943	0.432	0.000	12.070	0.000	0.408	46.010	0.648
18	0.541	0.000	0.000	48.220	0.000	58.657	0.000	7.651	4.784	11.164	3.045	0.000	77.302	0.000	6.407	2.802	1.335	0.141	0.000	1.489	0.064	1.044	2.047	1.561	0.000	9.477	0.929	0.000	4.443	10.289	0.774	1.482	38.321	12.037	0.000	0.000	6.894	3.589	1.352	1.145	1.733	56.780	0.359	0.000	7.060	0.000	0.000	0.000	12.100	3.626	0.000	0.000	0.520	0.000	0.000	0.000	36.757	0.000	77.797	7.476	0.000	0.000	9.739	0.000	0.000	46.180	0.000
19	0.571	0.000	0.000	34.539	0.000	44.033	0.000	2.598	0.285	4.579	1.481	0.000	52.067	0.000	2.401	0.277	0.854	0.000	0.000	0.797	0.000	0.201	0.191	0.084	0.000	7.660	0.000	0.000	1.857	4.663	0.054	0.000	38.528	3.326	0.000	0.000	0.213	0.163	0.070	0.000	0.000	51.887	0.000	0.000	3.234	0.000	0.000	0.000	6.200	0.295	0.000	0.000	0.000	0.000	0.000	0.000	32.739	2.500	89.575	8.210	0.000	0.000	7.289	0.000	0.000	39.980	0.000
20	0.601	0.000	0.000	20.574	0.000	28.539	0.000	0.466	0.000	0.193	0.335	0.000	29.137	0.000	0.000	0.000	7.537	0.000	0.000	0.208	0.000	0.000	0.000	0.000	0.000	0.262	0.000	0.000	0.208	0.768	0.000	0.000	35.460	0.363	0.000	0.000	0.000	0.000	0.000	0.000	0.000	36.756	0.000	0.000	0.568	0.000	0.000	0.000	0.600	0.019	0.000	0.000	0.000	0.000	0.000	0.000	24.187	4.100	93.612	14.439	0.000	0.000	4.979	0.000	0.000	29.446	0.000
21	0.631	0.000	0.000	10.761	0.000	17.621	0.000	0.000	0.000	0.000	0.028	0.000	12.329	0.000	4.063	0.000	16.524	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	31.290	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.563	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.956	5.700	94.088	27.969	0.000	0.000	1.937	0.000	0.000	18.349	0.000
22	0.661	0.000	0.000	2.989	0.000	10.190	0.000	0.000	0.000	0.000	0.000	0.000	4.138	0.000	14.419	0.000	23.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.926	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.823	7.300	93.577	46.578	0.000	0.000	0.000	0.000	0.000	4.882	0.000
23	0.691	0.000	0.000	0.000	0.000	1.154	0.000	0.000	0.000	0.000	0.000	0.000	0.177	0.000	21.702	0.000	33.556	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.927	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.046	8.600	89.715	61.888	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.721	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.900	0.000	0.000	32.017	0.000	43.641	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.372	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.600	78.948	68.534	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.752	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	34.300	0.000	0.000	43.072	0.000	49.259	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.090	0.000	0.000	1.313	0.000	0.000	0.000	0.010	0.000	0.348	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.800	61.257	61.574	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	56.400	0.000	0.000	52.859	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	46.862	0.000	0.000	0.000	0.000	0.000	0.000	0.000
