 	x	1	2	3	4	5	6	7
1	0.030	0.000	0	0.000	0.000	0.000	0.024	0.000
2	0.060	0.000	0	0.000	0.000	0.000	2.676	0.000
3	0.090	0.000	0	0.000	0.000	0.000	10.948	0.000
4	0.120	0.000	0	0.000	0.000	0.000	23.096	0.000
5	0.150	0.000	0	0.000	0.000	0.000	39.680	0.250
6	0.180	0.000	0	0.000	0.000	0.000	54.704	5.443
7	0.210	0.000	0	0.000	0.000	0.000	63.128	16.894
8	0.240	0.000	0	0.000	2.100	0.000	66.188	26.489
9	0.270	0.128	0	0.305	6.700	0.000	63.808	38.969
10	0.300	4.277	0	7.543	15.600	6.600	56.840	54.553
11	0.330	13.136	0	20.580	24.800	11.900	47.176	69.190
12	0.360	21.506	0	35.345	32.400	20.400	38.148	78.229
13	0.390	24.824	0	40.671	35.100	28.800	30.600	78.727
14	0.419	20.015	0	31.025	30.500	29.600	22.920	70.645
15	0.449	11.793	0	15.515	20.800	21.300	13.952	58.026
16	0.479	8.251	0	5.557	11.100	11.300	5.688	43.020
17	0.509	14.198	0	2.009	4.500	5.100	0.448	29.169
18	0.539	27.391	0	0.205	0.000	0.000	0.000	19.190
19	0.569	39.869	0	0.000	0.000	0.000	0.000	8.063
20	0.599	45.976	0	0.000	0.000	0.000	0.000	0.021
21	0.629	47.084	0	0.000	0.000	0.000	0.000	0.000
22	0.659	48.265	0	0.000	0.000	0.000	0.000	0.000
23	0.689	49.058	0	0.000	0.000	0.000	0.000	0.000
24	0.719	46.103	0	0.000	0.000	0.000	0.000	0.000
25	0.749	38.820	0	0.000	0.000	0.000	0.000	0.000
26	0.779	29.889	0	0.000	0.000	0.000	0.000	0.000
27	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
