 	x	1	2	3	4	5	6	7
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0.045	0.000	0.000
6	0.180	0.000	0.000	0.000	0.000	0.870	0.312	0.000
7	0.210	0.000	1.152	0.000	0.000	2.925	1.912	0.000
8	0.240	0.000	3.887	0.000	0.009	7.735	5.217	0.173
9	0.271	0.000	8.575	0.000	0.714	15.646	12.515	1.369
10	0.301	1.800	15.409	0.184	3.270	25.073	22.673	4.796
11	0.331	4.200	21.497	0.898	6.673	31.954	28.657	11.145
12	0.361	9.400	23.446	2.847	13.735	33.676	28.085	18.760
13	0.391	15.600	19.191	6.215	22.722	30.681	22.935	23.574
14	0.421	18.000	11.832	10.432	27.791	25.965	15.469	23.515
15	0.451	15.400	5.420	13.499	26.002	21.100	8.180	18.750
16	0.481	10.700	1.572	13.195	19.004	16.066	3.172	12.919
17	0.511	6.100	0.310	9.621	11.244	10.909	0.321	7.104
18	0.541	2.700	0.000	5.622	4.648	6.231	0.000	3.363
19	0.571	0.800	0.000	3.311	0.124	3.021	0.000	0.551
20	0.601	0.000	0.000	1.084	0.000	1.171	0.000	0.000
21	0.631	0.000	0.000	0.000	0.000	0.081	0.000	0.000
22	0.661	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0.691	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.721	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.752	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000
