 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
12	0.361	26.400	17.091	35.921	55.172	25.942	20.463	21.984	40.316	0.000	82.261	24.700	23.188	9.900	28.479	20.639	8.700	43.315	28.716	40.906	57.414	0.000	7.406	41.618	37.142	9.881	18.428	30.469	23.032	42.422	29.170	29.266	61.625	7.026	14.669	13.000	37.583	33.900	21.900	23.874	11.857	5.256	43.242	29.500	23.037	39.800	30.673	49.800	34.099	7.979	31.569	12.100	47.748	20.600	18.300	0.000	85.431	72.900	43.767	46.275	20.612	53.513	9.459	30.660	12.720	19.150	29.995
13	0.391	40.500	14.134	50.416	57.690	25.684	28.014	29.366	37.444	0.227	60.893	30.000	39.527	12.200	31.246	23.408	10.469	48.032	33.440	47.387	57.838	0.000	11.356	39.092	38.897	8.804	30.612	33.119	27.933	49.686	29.308	36.765	67.716	13.576	13.171	15.100	36.023	36.206	28.754	29.490	14.726	15.578	42.893	36.100	28.537	36.600	40.847	49.300	36.253	8.449	25.031	11.700	50.812	24.600	22.434	0.588	81.137	73.500	53.590	41.630	19.832	55.021	12.260	41.632	10.899	29.775	31.058
14	0.421	50.500	8.855	59.792	46.373	25.286	27.843	32.749	32.245	0.475	38.505	24.800	55.719	10.700	27.379	21.925	12.943	34.820	28.880	46.276	39.852	0.000	14.603	26.886	28.376	8.178	36.732	30.203	26.942	49.260	20.855	35.607	71.429	24.306	8.042	13.900	27.449	31.358	29.599	28.955	14.327	31.240	35.425	32.300	30.755	26.300	47.119	40.800	35.266	8.174	16.676	9.700	44.161	12.600	19.116	0.487	73.192	61.900	54.150	26.952	15.595	48.541	16.365	46.132	9.154	40.212	25.234
15	0.451	41.300	4.237	61.042	29.557	26.806	19.111	29.272	25.937	0.482	21.271	13.800	65.111	7.200	18.259	16.816	15.239	16.622	18.483	37.005	19.081	0.000	16.753	13.035	14.613	6.848	30.328	22.656	21.877	40.764	10.306	27.841	71.210	38.060	3.114	10.400	16.335	20.759	22.962	22.217	10.728	48.579	24.597	20.000	28.337	14.700	38.775	27.300	31.259	8.028	8.626	6.600	32.856	0.000	10.605	0.000	64.821	43.600	47.247	14.905	9.260	33.548	19.112	41.326	6.254	47.538	18.445
16	0.481	12.900	1.259	56.078	13.673	31.334	8.251	21.581	18.500	0.322	1.117	6.000	65.602	5.400	10.255	10.309	13.777	5.053	9.210	24.096	6.469	0.535	17.380	5.152	5.237	5.066	17.096	13.097	15.133	28.818	3.364	17.593	63.660	49.571	0.634	6.900	7.203	10.496	13.858	11.646	6.406	57.728	14.795	8.700	21.323	6.800	22.183	14.300	23.109	7.735	3.551	4.800	20.562	0.000	3.402	0.000	54.624	25.700	36.231	5.724	3.984	17.379	19.197	29.190	2.441	48.377	8.379
17	0.511	12.900	0.000	44.046	2.239	36.371	2.404	12.471	11.187	0.225	0.000	0.000	57.468	4.300	5.319	5.124	4.128	0.402	3.220	12.831	1.991	1.849	14.863	2.005	1.722	3.745	5.928	3.868	8.814	16.986	0.913	9.118	48.544	53.221	0.000	3.500	2.158	4.136	6.589	2.207	3.468	59.124	5.665	0.000	13.198	0.000	8.164	5.700	12.999	7.293	1.399	0.000	9.803	0.000	0.701	0.000	42.552	0.000	23.809	1.665	0.956	7.726	17.368	16.004	0.312	40.022	3.539
18	0.541	0.000	0.000	26.877	0.000	38.518	0.314	3.266	6.144	0.198	0.000	0.000	42.478	0.000	1.966	1.066	0.000	0.000	0.023	4.959	0.205	4.948	9.537	0.195	0.332	2.215	1.272	0.000	2.712	6.174	0.068	3.150	30.421	45.122	0.000	0.000	0.356	0.911	2.750	0.000	1.292	58.975	0.157	0.000	6.626	0.000	2.920	0.000	5.831	7.205	0.060	0.000	3.308	0.000	0.012	0.000	30.635	0.000	29.963	0.585	0.000	0.481	14.265	4.267	0.000	25.919	1.202
19	0.571	0.000	0.000	12.538	0.000	36.009	0.000	0.000	2.523	0.027	0.000	0.000	25.576	0.000	1.726	0.000	0.000	0.000	0.000	0.383	0.000	6.925	3.552	0.000	0.000	0.010	0.068	0.000	0.000	0.393	0.000	0.060	15.284	28.114	0.000	0.000	0.000	0.000	0.716	0.000	0.109	59.869	0.000	0.000	2.547	0.000	0.123	0.000	2.164	7.131	0.000	0.000	0.623	0.000	0.000	0.000	19.039	14.800	41.404	0.000	0.000	0.000	11.910	0.000	0.000	13.778	0.208
20	0.601	0.000	0.000	5.195	0.000	30.507	0.000	0.000	0.222	0.000	0.000	0.000	13.424	0.000	11.444	0.000	1.366	0.000	0.000	0.000	0.000	9.465	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.836	11.800	0.000	0.000	0.000	0.000	0.533	0.000	0.000	57.133	0.000	0.000	0.424	0.000	0.000	0.000	0.185	5.829	0.000	0.000	0.000	0.000	0.000	0.000	10.937	24.900	52.192	0.000	0.000	0.000	10.082	0.000	0.000	7.271	0.000
21	0.631	0.000	0.000	0.398	0.000	24.284	0.000	0.000	0.000	0.000	0.000	0.000	6.603	0.000	18.563	0.000	12.644	0.000	0.000	0.000	0.000	8.858	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.287	0.000	0.000	0.000	0.000	2.220	0.000	0.000	45.335	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.898	0.000	0.000	0.000	0.000	0.000	0.000	5.491	40.300	59.242	0.000	0.000	0.000	8.089	0.000	0.000	1.240	0.000
22	0.661	0.000	0.000	0.000	0.000	18.824	0.000	0.000	0.000	0.000	0.000	0.000	0.695	0.000	26.648	0.000	20.109	0.000	0.000	0.000	0.000	6.388	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.471	0.000	0.000	0.000	0.000	5.620	0.000	0.000	28.585	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.076	0.000	0.000	0.000	0.000	0.000	0.000	0.936	54.000	62.269	0.000	0.000	0.000	1.730	0.000	0.000	0.000	0.000
23	0.691	0.000	0.000	0.000	0.000	12.627	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	35.576	0.000	30.578	0.000	0.000	0.000	0.000	3.717	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.577	0.000	0.000	16.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	61.700	62.348	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.721	0.000	0.000	0.000	0.000	6.280	0.000	0.000	0.000	0.000	0.000	15.100	0.000	0.000	42.394	0.000	44.312	0.000	0.000	0.000	0.000	2.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.313	0.000	18.531	0.000	0.000	7.694	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	62.200	60.092	0.000	0.120	0.000	0.000	0.000	0.000	0.000	0.000
25	0.752	0.000	0.000	0.000	0.000	2.367	0.000	0.000	0.000	0.000	0.000	31.200	0.000	0.000	44.688	0.000	55.114	0.000	0.000	0.000	0.000	0.989	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.148	0.000	0.000	0.000	0.000	0.000	0.000	3.836	0.000	25.243	0.000	0.000	0.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	58.200	56.127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	54.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.415	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	33.265	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
