 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	21.480	0.021	0.000	0.004	0.094	0.052	0.025	11
2	0.068	0.335	140.853	0.020	0.170	0.149	0.051	1
3	6.086	5.757	132.091	2.697	4.698	0.731	4.161	2
4	22.132	6.705	95.732	0.013	0.170	0.096	0.051	12
5	9.110	10.352	120.089	2.716	6.184	0.559	6.473	3
6	11.983	15.432	125.831	1.240	3.272	0.482	3.282	4
7	14.442	19.930	112.245	2.378	4.976	0.609	4.557	5
8	15.301	20.830	71.457	0.076	0.361	0.267	0.036	7
9	14.568	21.425	152.959	0.023	0.180	0.163	0.036	7
10	15.611	22.913	149.423	0.029	0.214	0.172	0.061	8
11	15.720	23.352	104.835	0.047	0.262	0.227	0.061	8
12	16.522	25.031	118.293	1.299	2.448	0.675	1.957	10
