 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	16.986	0.174	7.275	0.037	0.226	0.207	0.025	21
2	6.319	0.223	9.338	0.021	0.175	0.150	0.035	3
3	16.320	0.325	160.100	0.053	0.296	0.229	0.085	20
4	18.151	0.388	103.019	0.084	0.344	0.310	0.025	28
5	18.562	0.556	1.264E-13	0.021	0.177	0.153	0.025	28
6	21.778	0.622	135.000	0.019	0.163	0.146	0.000	0
7	17.736	0.914	45.000	0.059	0.284	0.263	0.175	22
8	17.172	1.274	87.671	0.188	0.666	0.359	0.175	22
9	25.253	1.227	98.849	0.126	0.532	0.302	0.110	42
10	6.275	1.100	45.001	0.018	0.168	0.133	0.035	3
11	10.514	1.493	61.411	0.105	0.394	0.340	0.000	0
12	7.811	1.466	38.955	0.044	0.246	0.227	0.000	0
13	7.173	2.085	29.428	0.014	0.151	0.121	0.000	0
14	21.778	2.186	102.805	0.031	0.213	0.187	0.000	0
15	17.429	2.319	76.666	0.060	0.299	0.255	0.000	0
16	9.100	3.113	86.012	1.759	1.824	1.228	3.233	12
17	12.982	2.346	32.418	0.055	0.300	0.234	0.035	18
18	25.242	4.665	82.010	0.896	1.422	0.802	2.005	41
19	7.702	4.491	115.485	0.243	0.693	0.446	0.252	8
20	17.315	4.326	86.830	0.034	0.241	0.182	0.025	23
21	8.489	4.527	57.538	0.094	0.402	0.299	0.096	11
22	23.597	4.426	108.435	0.007	0.100	0.088	0.025	40
23	18.571	6.163	96.724	1.527	2.868	0.678	2.915	29
24	8.062	5.300	64.209	0.030	0.216	0.177	0.096	11
25	15.679	5.899	36.354	0.016	0.154	0.130	0.025	19
26	10.398	6.473	21.505	0.116	0.424	0.347	0.035	14
27	8.928	6.497	45.000	0.008	0.110	0.094	0.000	0
28	5.602	6.948	1.347	0.477	1.358	0.447	0.741	2
29	23.658	7.600	62.373	0.794	1.569	0.645	2.337	39
30	3.102	11.729	76.423	1.125	3.004	0.477	2.724	1
31	21.167	11.073	138.080	0.504	1.131	0.567	0.520	35
32	12.637	11.176	79.563	0.091	0.383	0.304	0.025	17
33	23.100	12.060	76.393	0.133	0.426	0.396	0.035	38
34	6.898	12.564	78.085	0.119	0.516	0.293	0.146	5
35	7.251	12.741	8.396	0.064	0.307	0.267	0.146	5
36	20.233	14.743	58.115	0.027	0.213	0.161	0.035	34
37	19.698	16.414	73.354	0.164	0.661	0.317	0.256	32
38	19.252	17.659	57.810	0.079	0.422	0.240	0.131	31
39	19.991	18.430	162.541	0.061	0.306	0.252	0.000	0
40	18.788	18.603	51.284	0.062	0.309	0.258	0.060	30
41	18.359	19.512	65.031	0.238	1.109	0.273	0.880	27
42	11.919	19.868	171.523	0.909	1.495	0.775	2.327	16
