 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	21.275	3.922	96.645	0.776	2.338	0.423	2.162	10
2	21.348	6.980	75.236	1.243	3.142	0.504	3.294	9
3	20.433	12.869	79.583	0.712	2.174	0.417	1.659	8
4	18.536	14.031	5.590	0.396	1.401	0.360	0.889	6
5	19.975	16.357	98.765	0.510	1.352	0.481	0.786	7
6	15.532	19.635	137.341	0.020	0.212	0.119	0.117	4
7	17.286	20.119	54.132	0.033	0.309	0.138	0.184	5
8	15.312	21.137	70.635	0.987	2.316	0.542	2.901	3
9	14.319	20.362	29.986	0.161	0.729	0.282	0.383	2
10	14.060	23.813	57.718	0.531	1.946	0.347	1.561	1
