 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	24.590	5.123	79.690	0.337	1.078	0.398	0.587	11
2	2.001	4.943	58.283	0.004	0.096	0.047	0.042	1
3	24.150	8.112	64.030	0.762	2.024	0.479	1.676	10
4	29.714	13.594	174.096	0.446	1.098	0.517	0.719	14
5	28.470	14.487	110.888	0.279	0.851	0.418	0.408	13
6	26.891	15.791	92.629	0.310	0.929	0.426	0.311	12
7	18.566	18.657	30.287	1.616	2.893	0.711	3.496	7
8	3.666	19.829	134.516	0.996	2.219	0.571	2.278	2
9	22.558	18.886	35.753	0.037	0.236	0.202	0.000	0
10	15.207	22.734	76.080	0.654	1.336	0.623	0.786	6
11	20.177	22.985	74.599	0.090	0.420	0.273	0.114	8
12	14.431	23.759	67.221	0.064	0.358	0.229	0.042	5
13	9.129	24.577	121.814	0.252	0.733	0.439	0.271	3
14	13.438	24.925	23.091	0.021	0.185	0.141	0.042	4
