 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	6.713	0.592	5.971	2.778	3.827	0.924	5.823	10
2	18.652	0.265	166.621	0.414	0.898	0.587	0.121	24
3	12.853	0.745	84.082	0.455	1.438	0.403	0.817	15
4	19.896	0.461	72.344	0.059	0.362	0.207	0.060	26
5	3.851	1.602	57.727	0.829	2.469	0.428	1.991	7
6	19.777	2.064	97.662	1.273	1.941	0.835	1.985	25
7	12.979	2.641	110.236	0.908	2.111	0.547	1.973	16
8	23.419	5.054	112.172	2.843	4.295	0.843	5.302	27
9	18.481	3.493	87.282	0.411	0.866	0.604	0.221	23
10	0.444	3.860	24.538	0.201	0.704	0.364	0.242	4
11	18.945	6.447	117.926	3.787	5.060	0.953	7.452	21
12	13.878	5.839	111.799	0.134	0.517	0.330	0.085	18
13	6.801	6.560	87.662	0.394	1.300	0.386	0.792	13
14	18.399	6.567	12.796	0.100	0.415	0.307	0.035	22
15	17.333	7.085	174.029	0.679	2.263	0.382	1.699	20
16	7.413	11.327	64.745	5.914	4.500	1.673	16.294	11
17	0.073	8.654	83.883	0.069	0.518	0.171	0.271	1
18	2.248	9.302	21.421	1.393	3.269	0.542	3.485	5
19	25.068	9.389	147.288	0.722	1.190	0.772	0.875	28
20	8.836	10.917	90.870	0.193	0.596	0.412	0.025	14
21	13.131	11.232	55.791	0.203	0.928	0.279	0.671	17
22	3.698	14.389	27.319	0.150	0.767	0.249	0.519	8
23	14.221	16.340	82.410	0.460	1.553	0.377	1.113	19
24	4.325	17.742	70.479	0.591	1.489	0.505	1.533	9
25	6.060	17.394	90.250	0.153	0.470	0.414	0.000	0
26	1.300	20.299	3.485	0.531	1.148	0.589	0.765	6
27	0.386	20.838	168.147	0.074	0.489	0.194	0.271	2
28	1.357	21.184	11.761	0.824	2.018	0.520	1.996	3
