5.061	0.698	35.229	0.545	1.056	0.657	0.466	13	0	69.72	1716	5529	0.827233798677512
31.596	1.679	67.586	1.242	2.421	0.653	2.129	21	0	66.57	8325	13518	0.374780336628053
30.855	3.177	45.001	0.093	0.371	0.32	0	0	0	64.75	338	724	1.28711176970775
29.408	5.861	75.609	1.414	2.818	0.639	2.545	19	0	61.46	12940	26639	0.382792469846366
3.353	5.564	2.802	0.383	0.732	0.666	0.07	11	0	64.96	1237	4480	0.923707769973305
0.248	5.873	15.881	0.26	0.601	0.552	0	0	0	66.57	847	3158	0.908071116917996
1.869	7.132	31.586	0.088	0.371	0.304	0	0	0	65.45	146	542	1.21936904498629
26.597	12.772	63.19	0.133	0.501	0.337	0.099	18	0	53.41	484	1106	1.03516357890123
0.581	14.513	136.035	0.142	0.514	0.353	0.099	4	0	57.19	240	843	1.0364017591026
2.95	16.266	10.329	2.754	2.069	1.695	4.591	9	0	54.46	5536	29018	0.503468909626734
1.553	15.824	135	0.029	0.244	0.153	0	0	0	55.44	43	202	1.44584098785204
3.825	18.089	78.82	0.157	0.578	0.346	0.14	12	0	52.29	255	813	1.01659216706402
23.079	21.608	45	0.039	0.248	0.202	0.07	17	0	43.05	140	210	1.72353960452146
21.241	23.939	65.884	1.227	2.384	0.656	1.593	16	0	39.97	10096	15306	0.498805414597879
6.363	25.011	174.411	0.525	1.199	0.558	0.52	14	0	44.17	1720	4764	0.756352938201098
3.817	26.685	147.473	1.07	2.24	0.608	1.61	10	0	46.41	2455	9783	0.474905875587566
1.657	29.264	45	0.103	0.429	0.306	0.099	7	0	49.21	169	745	1.16320161752546
0.626	31.462	25.49	0.574	1.578	0.463	1.085	2	0	0	2023	495	0.529867548126054
16.683	32.451	101.366	2.013	2.521	1.017	1.687	15	0	30.73	11856	16703	0.523720272048463
1.071	31.882	0	0.088	0.37	0.304	0.07	5	0	50.89	153	547	1.24292726299329
1.528	33.506	174.285	1.483	3.337	0.566	3.637	3	0	51.31	3795	11175	0.207790952553768
