26.027	0.39	114.517	0.079	0.396	0.252	0.07	8	0	74.62	128	554	0.977619024109281
21.539	2.464	69.699	0.044	0.275	0.205	0	0	0	78.4	69	330	1.53278306723023
32.922	5.861	1.756	1.11	1.573	0.898	0.8	9	0	66.29	4340	17138	0.724360378557123
24.499	7.888	7.161	0.069	0.381	0.229	0.21	7	0	0	123	74	1.21767156062389
33.388	13.146	119.27	0.093	0.4	0.297	0.14	11	0	58.87	143	619	1.09640597658193
32.898	24.279	0	0.044	0.237	0.237	0.14	10	0	0	101	1	1.61883943410041
18.738	30.892	24.319	0.741	1.62	0.583	1.015	3	0	66.71	1653	4970	0.620437917299991
24.386	30.707	177.633	0.113	0.442	0.325	0.07	6	0	61.18	210	828	1.07060532815547
33.428	31.779	23.231	0.25	0.674	0.473	0.169	12	0	0	894	0	0.852694913721247
8.852	33.299	4.597	1.846	2.424	0.97	3.671	1	0	0	7338	2	0.217539567041773
20.226	33.29	6.643	1.385	2.875	0.613	2.813	4	0	0	5942	7	0.335630352971956
10.84	33.08	18.435	0.025	0.22	0.142	0.07	2	0	0	43	0	2.041532676046
33.645	33.295	86.83	0.044	0.395	0.142	0.239	13	0	52.5	75	236	0.854831366211677
