 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	26.027	0.390	114.517	0.079	0.396	0.252	0.070	8
2	21.539	2.464	69.699	0.044	0.275	0.205	0.000	0
3	32.922	5.861	1.756	1.110	1.573	0.898	0.800	9
4	24.499	7.888	7.161	0.069	0.381	0.229	0.210	7
5	33.388	13.146	119.270	0.093	0.400	0.297	0.140	11
6	32.898	24.279	0.000	0.044	0.237	0.237	0.140	10
7	18.738	30.892	24.319	0.741	1.620	0.583	1.015	3
8	24.386	30.707	177.633	0.113	0.442	0.325	0.070	6
9	33.428	31.779	23.231	0.250	0.674	0.473	0.169	12
10	8.852	33.299	4.597	1.846	2.424	0.970	3.671	1
11	20.226	33.290	6.643	1.385	2.875	0.613	2.813	4
12	10.840	33.080	18.435	0.025	0.220	0.142	0.070	2
13	33.645	33.295	86.830	0.044	0.395	0.142	0.239	13
