 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
14	0.410	1.748	15.911	8.530	7.764	2.178	5.907	2.873	2.213	6.158	25.324	8.602	14.138	2.969	27.858	4.142	4.947	5.867	8.166	1.703	8.600	20.165	5.767	11.715	6.096	7.155	3.593	9.180	5.008	4.155	6.727	6.999	20.338	5.092	3.319	12.833	5.297	8.950	6.543	1.988	5.989	15.549	14.266	3.878	8.843	0.973	16.007	1.100	6.301	10.476	6.241	2.614	0	11.400	7.900	13.263
15	0.439	1.175	12.956	8.308	7.112	1.698	5.695	2.742	2.474	4.803	25.495	9.245	15.474	2.975	27.231	4.961	4.821	7.372	8.735	0.006	7.700	15.245	3.972	12.526	5.351	6.281	3.323	6.335	5.497	3.156	6.047	5.889	17.886	2.849	2.987	12.620	3.907	7.547	6.852	1.937	6.156	12.545	15.148	3.046	8.371	0.554	15.847	0.800	5.511	9.177	7.170	3.295	0	10.500	8.500	5.667
16	0.469	0.618	10.742	8.456	4.293	1.499	5.115	2.232	2.324	3.293	26.214	11.187	15.969	2.123	24.333	5.515	4.709	7.870	7.736	0.947	5.600	11.768	2.971	12.287	3.609	5.810	3.797	4.186	5.742	2.413	6.499	4.756	12.717	1.222	2.346	12.509	2.566	5.725	6.829	1.558	5.366	8.911	15.762	1.914	6.359	0.323	15.538	0.900	4.602	7.260	6.599	2.505	0	10.600	7.900	2.758
17	0.498	0.213	10.736	8.486	2.383	0.829	4.227	1.729	2.115	2.772	25.705	11.109	17.074	1.172	18.544	6.002	4.227	6.757	5.160	5.194	3.000	7.562	1.986	9.515	2.647	5.121	5.163	2.008	5.703	1.505	5.805	3.715	6.822	0.346	0.807	12.608	1.586	4.702	6.399	1.333	4.448	6.545	15.867	1.041	5.399	0.070	15.668	0.900	4.241	6.152	4.746	1.679	0	9.500	5.300	0.739
18	0.527	0.170	10.961	10.448	1.128	0.511	3.588	1.131	1.503	1.753	22.906	7.981	18.736	0.743	12.961	6.909	3.267	4.651	3.150	8.775	0.000	1.044	0.806	5.521	1.246	4.551	6.469	0.369	5.217	0.908	4.415	1.477	2.776	0.000	0.239	10.763	0.528	4.110	5.391	0.705	4.673	4.533	14.633	0.402	4.467	0.000	16.383	0.700	3.601	4.984	4.232	0.780	0	8.300	2.600	0.000
19	0.557	0.048	5.025	13.370	0.238	0.215	2.697	0.533	0.281	0.905	19.886	8.385	9.968	0.459	9.036	7.903	2.208	2.673	1.751	11.891	0.000	0.000	6.926E-4	2.890	1.150	3.651	8.350	0.000	4.887	0.249	2.595	0.452	0.070	0.000	0.002	7.188	0.057	2.495	3.937	0.000	3.190	2.387	12.386	0.014	2.757	0.000	15.520	0.500	3.086	3.599	4.766	0.242	0	5.900	1.300	0.000
20	0.586	0.000	0.186	17.338	0.000	0.060	1.732	0.101	0.346	0.292	17.496	8.867	6.602	0.137	5.594	7.872	1.239	1.540	1.159	13.364	0.000	0.000	0.000	1.266	1.004	2.468	10.693	0.000	3.042	0.002	1.038	0.024	0.000	0.000	0.000	4.096	0.000	1.055	1.752	0.000	3.920	0.710	10.125	0.000	1.502	0.000	11.633	0.300	1.903	1.276	4.651	0.291	0	2.000	0.200	0.000
21	0.615	0.000	0.000	19.504	0.000	0.000	0.723	0.000	0.250	0.000	15.789	9.895	0.156	3.948E-4	2.630	7.337	0.508	0.023	0.181	13.357	0.000	0.000	0.000	0.301	0.729	1.600	13.854	0.000	1.360	0.000	0.347	0.000	0.000	0.000	0.000	0.723	0.000	0.194	0.110	0.000	4.707	0.000	7.980	0.000	0.346	0.000	5.572	0.000	0.850	0.029	3.113	0.991	0	0.600	0.000	0.000
22	0.645	0.000	0.000	18.984	0.000	0.000	0.516	0.000	0.272	0.000	13.304	11.545	10.423	0.000	1.686	6.839	0.000	0.000	0.000	14.583	0.000	0.000	0.000	0.000	0.531	0.960	16.329	0.000	0.671	0.000	9.289E-4	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.000	5.253	0.000	5.597	0.000	0.043	0.000	0.174	0.000	0.019	0.000	1.531	1.637	0	0.000	0.000	0.000
23	0.674	0.000	0.000	16.735	0.000	0.000	0.042	0.000	0.314	0.000	9.401	16.053	16.659	0.000	2.762	5.859	0.000	0.000	0.000	16.981	0.000	0.000	0.000	0.000	0.341	0.012	17.271	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.716	0.000	2.384	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009	2.537	0	0.000	0.000	0.000
24	0.703	0.000	0.000	15.350	0.000	0.000	0.000	0.000	0.169	0.000	4.847	17.147	29.808	0.000	7.571	4.669	0.000	0.000	0.000	18.717	0.000	0.000	0.000	0.504	0.090	0.000	16.723	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.692	0.000	0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.405	0	0.000	0.000	0.000
25	0.732	0.000	0.000	14.461	0.000	0.000	0.000	0.000	0.218	0.000	1.361	13.965	32.334	0.000	8.989	3.002	0.000	0.000	0.000	19.946	0.000	0.000	0.000	2.198	0.000	0.000	15.609	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.609	0	0.000	0.000	0.000
26	0.762	0.000	0.000	12.876	0.000	0.000	0.000	0.000	0.273	0.000	0.070	12.540	34.688	0.000	8.670	1.128	0.000	0.000	0.000	19.623	0.000	0.000	0.000	4.341	0.000	0.000	14.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.153	0	0.000	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.422	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.156	0	0.000	0.000	0.000
