 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	3.531	0.088	0.000	0.017	0.165	0.132	0.059	4
2	3.483	0.777	84.314	0.224	1.084	0.263	0.881	3
3	3.871	1.562	77.417	0.052	0.277	0.237	0.881	3
4	11.199	6.214	84.615	0.349	1.134	0.391	0.693	9
5	5.441	11.277	137.768	0.170	0.739	0.293	0.690	6
6	14.025	12.148	101.000	0.166	0.790	0.267	0.612	12
7	13.244	12.586	163.912	0.208	0.795	0.333	0.459	10
8	1.466	13.682	45.000	0.026	0.190	0.172	0.041	2
9	14.333	14.045	77.839	0.109	0.398	0.349	0.000	0
10	1.992	14.196	71.565	0.034	0.230	0.190	0.041	2
11	14.263	16.103	71.922	1.317	2.027	0.827	4.577	11
12	24.179	15.558	119.722	0.724	1.478	0.623	1.601	22
13	8.479	15.856	136.709	0.547	1.736	0.401	1.698	8
14	22.537	15.687	68.002	0.105	0.382	0.349	0.029	20
15	23.949	15.865	51.921	0.032	0.258	0.157	0.071	23
16	24.048	16.778	126.781	0.244	1.024	0.303	0.790	21
17	14.956	18.785	137.204	0.377	1.278	0.375	0.946	14
18	18.414	18.892	13.484	0.695	1.827	0.484	1.701	17
19	15.622	18.836	151.541	0.029	0.257	0.145	0.171	15
20	18.906	19.198	157.387	0.029	0.218	0.170	1.701	17
21	20.040	19.659	158.328	0.474	2.092	0.288	1.908	19
22	17.585	22.108	117.600	0.166	0.678	0.311	0.412	16
23	6.064	26.794	175.511	0.081	0.379	0.271	0.029	7
