 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
14	0.410	4.195	24.404	10.270	13.065	4.187	12.492	2.429	2.942	12.153	9.724	9.979	16.839	10.131	48.000	13.544	11.114	12.513	14.062	14.776	10.000	13.192	7.256	23.181	11.341	12.891	15.793	8.425	14.390	9.220	18.150	10.959	13.583	17.613	6.772	27.242	8.251	19.285	23.030	2.983	9.200	16.987	32.114	7.296	14.947	12.027	17.402	17.000	15.159	18.475	18.145	4.775	8.860	21.200	24.700	12.592
15	0.439	2.818	20.468	10.093	12.268	4.412	11.294	2.379	2.411	12.364	7.076	10.780	16.879	9.473	46.638	13.757	11.639	12.397	14.641	15.246	7.100	11.896	7.148	23.314	9.006	13.038	15.707	11.501	13.038	8.867	19.475	10.507	12.959	14.427	6.025	24.797	6.355	19.022	20.963	2.801	7.800	16.965	32.013	6.518	14.715	10.465	15.869	16.500	14.142	16.903	19.451	4.376	7.291	21.300	23.200	12.650
16	0.469	1.657	17.917	10.257	9.354	3.674	10.538	1.939	2.376	11.281	8.416	11.574	17.611	7.735	45.334	13.357	11.266	11.210	14.215	16.364	4.700	10.689	5.142	20.513	5.533	12.804	15.188	13.158	12.383	7.481	18.702	8.907	12.571	9.956	4.256	22.200	3.684	18.383	18.853	2.814	5.700	16.441	31.834	5.611	14.339	8.141	13.650	14.300	12.147	14.791	19.294	3.103	5.652	20.000	20.900	13.537
17	0.498	1.016	15.733	10.737	5.612	2.672	9.796	1.296	2.707	9.289	11.817	11.436	18.438	5.873	41.120	12.299	10.011	8.485	12.332	16.097	2.000	9.415	2.881	14.992	2.908	12.386	13.486	14.688	11.516	4.041	15.313	5.408	12.229	5.704	2.492	19.136	2.129	17.102	16.536	2.394	4.000	15.612	31.292	3.997	13.355	5.794	12.158	12.500	10.461	14.332	17.390	1.792	3.846	18.400	18.800	13.038
18	0.527	0.394	12.206	10.666	3.016	2.145	9.245	0.516	2.652	7.267	13.007	0.461	18.795	4.030	33.945	11.575	8.270	6.420	9.948	13.407	0.000	7.521	0.043	9.355	1.385	12.079	11.233	15.623	10.837	1.458	10.766	2.517	10.949	2.589	1.318	15.022	1.197	14.831	14.222	2.748	2.000	16.128	30.900	2.293	11.640	3.811	10.626	9.600	7.586	13.792	13.935	0.965	0.439	16.700	16.300	11.020
19	0.557	0.000	7.889	11.188	1.118	1.613	7.745	0.167	2.241	5.069	7.946	0.000	14.998	2.778	26.452	11.158	5.697	4.721	7.806	9.938	0.000	4.852	0.000	5.741	0.088	11.468	8.398	15.368	10.127	0.766	6.750	1.182	9.944	0.960	0.695	10.528	0.380	11.896	11.386	2.553	1.100	15.056	31.243	1.283	9.783	1.385	8.154	5.600	4.946	10.205	10.451	0.336	0.000	15.400	12.500	8.107
20	0.586	0.000	1.031	14.747	0.080	0.961	6.325	0.000	1.910	4.010	9.671	0.000	4.612	0.965	19.389	8.739	4.138	2.750	6.232	6.634	0.000	2.918	0.000	2.671	0.000	10.140	5.789	14.693	8.275	0.140	3.870	0.234	8.723	0.004	0.053	1.087	0.000	8.797	7.267	2.140	0.000	11.701	31.199	0.454	7.229	0.017	5.578	2.800	2.725	6.218	8.030	0.000	0.000	14.100	8.400	6.150
21	0.615	0.000	0.000	18.273	0.000	0.751	4.217	0.000	2.040	1.158	11.786	0.167	13.087	0.000	10.642	5.780	2.803	0.654	5.067	4.522	0.000	1.258	0.000	0.142	0.000	7.474	2.802	13.147	5.543	0.000	0.366	0.000	6.068	0.000	0.000	0.000	0.000	5.549	3.665	1.945	0.000	8.279	29.616	0.020	4.285	0.000	2.433	0.000	0.155	3.500	6.155	0.000	0.000	13.700	4.500	4.805
22	0.645	0.000	0.000	18.401	0.000	0.350	1.350	0.000	2.122	0.000	12.849	16.692	19.707	0.000	0.626	3.622	0.672	0.002	3.625	3.159	0.000	0.058	0.000	0.053	0.000	5.385	2.829	10.050	2.112	0.000	0.000	0.000	2.945	0.000	0.000	0.000	0.000	2.788	0.295	1.693	0.000	5.987	26.406	0.000	2.082	0.000	0.087	0.000	0.000	1.226	1.138	0.131	0.000	14.100	1.300	1.553
23	0.674	0.000	0.000	16.185	0.000	0.000	0.000	0.000	2.402	0.000	14.467	24.304	23.104	0.000	0.000	2.180	0.000	0.000	1.523	0.404	0.000	0.000	0.000	2.769	0.000	4.140	4.535	7.838	0.026	0.000	0.000	0.000	0.153	0.000	0.000	0.107	0.000	0.410	0.000	0.028	0.000	3.299	22.831	0.000	0.217	0.000	0.000	0.000	0.000	0.037	0.166	0.221	0.000	11.500	0.300	0.076
24	0.703	0.000	0.000	14.952	0.000	0.000	0.000	0.000	2.624	0.000	15.251	30.943	28.010	0.000	0.000	0.520	0.000	0.000	0.100	0.000	0.000	0.000	0.000	6.887	0.000	1.240	7.262	7.357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.888	0.000	0.000	0.000	0.000	0.000	0.439	19.839	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.436	0.000	7.700	0.000	0.288
25	0.732	0.000	0.000	14.502	0.000	0.000	0.000	0.000	2.175	0.000	13.973	36.193	31.735	0.000	0.811	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.205	0.000	0.000	10.464	8.528	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.184	0.000	0.000	0.000	0.000	0.000	0.000	17.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.107	0.000	6.700	0.000	2.485
26	0.762	0.000	0.000	13.515	0.000	0.000	0.000	0.000	1.591	0.000	12.829	40.672	34.269	0.000	1.509	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.394	0.000	0.000	11.709	10.096	0.000	0.000	0.045	0.000	0.000	0.000	0.000	3.310	0.000	0.000	0.000	0.000	0.000	0.000	15.773	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.850
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.330	0.000	0.000	0.000	0.000	0.000	0.000	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.337	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
