 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
14	0.410	1.687	12.981	8.497	10.877	1.985	8.930	2.181	2.088	8.632	5.490	4.810	7.458	8.877	33.144	11.168	6.444	5.054	7.685	11.625	5.100	2.243	4.790	15.755	8.904	11.007	2.621	0.000	7.457	4.591	11.858	5.490	2.955	1.076	4.864	0	3.980	13.498	8.834	1.800	4.700	7.507	12.150	4.187	8.196	9.394	11.717	7.700	7.292	4.902	9.672	3.620	11.060	11.600	8.427	5.111
15	0.439	1.132	11.259	8.757	10.342	1.489	8.361	2.116	2.018	8.825	4.064	5.726	6.564	8.628	32.777	10.729	6.211	6.155	7.787	14.944	3.500	1.669	4.291	15.160	6.727	11.962	1.702	0.000	7.579	3.167	10.167	4.012	2.772	0.302	4.597	0	2.536	12.135	8.499	1.800	4.000	8.030	12.607	4.020	7.381	10.298	11.129	8.100	7.638	3.532	10.431	2.918	9.274	11.000	7.753	3.624
16	0.469	0.795	9.595	9.135	9.598	0.565	7.443	1.719	2.181	9.552	4.018	6.424	7.309	8.692	30.066	9.825	5.796	6.283	7.200	16.687	2.600	0.992	3.652	13.188	4.084	11.531	0.900	0.000	6.563	1.655	6.808	2.442	2.055	0.186	3.157	0	1.356	10.421	9.097	1.600	2.500	6.883	13.809	4.046	6.455	9.748	9.210	8.200	6.915	2.405	9.686	2.123	6.888	10.900	7.637	2.395
17	0.498	0.796	7.433	10.000	7.809	0.279	5.574	1.395	2.185	9.700	3.422	5.644	9.269	7.778	26.481	7.998	3.655	5.189	6.043	17.121	1.200	0.414	2.482	9.948	2.084	10.987	0.352	0.000	5.375	0.519	4.203	1.234	1.125	0.000	1.845	0	0.550	7.949	9.273	1.000	1.400	5.386	15.859	2.762	6.269	8.229	8.137	7.100	5.199	1.514	9.518	1.142	5.207	8.800	6.957	1.209
18	0.527	0.715	1.559	10.864	2.470	0.110	3.881	1.087	2.007	6.686	4.740	0.048	10.547	6.062	19.099	6.202	1.755	3.378	4.939	18.211	0.000	0.036	0.220	6.024	1.143	9.121	0.000	0.000	3.927	0.000	1.154	0.494	0.804	0.000	1.019	0	0.164	6.169	7.762	0.700	0.700	4.605	17.015	1.349	5.623	6.752	7.099	5.600	3.989	0.485	7.780	0.348	3.197	7.400	7.340	0.387
19	0.557	0.099	0.000	11.306	0.656	0.000	2.843	0.846	1.802	2.353	5.708	0.000	10.284	4.029	9.926	4.716	0.869	1.813	3.656	19.061	0.000	0.000	0.000	3.142	0.089	7.323	0.000	0.000	2.146	0.000	0.233	0.050	0.573	0.000	0.516	0	0.014	6.182	5.093	1.100	0.000	2.939	16.592	0.664	4.124	4.543	5.199	3.100	2.430	0.235	5.348	0.097	0.175	6.900	7.813	0.037
20	0.586	0.000	0.000	13.283	0.000	0.000	1.511	0.265	1.973	0.405	5.177	0.000	8.881	1.678	0.648	3.389	0.072	0.800	1.928	18.418	0.000	0.000	0.000	1.153	0.000	5.688	0.000	0.000	0.960	0.000	0.000	0.000	0.087	0.000	0.169	0	0.000	3.551	3.077	0.600	0.000	1.918	15.990	0.188	2.662	1.659	5.551	0.400	0.955	0.038	0.391	0.000	0.000	7.400	7.706	0.000
21	0.615	0.000	0.000	17.296	0.000	0.000	0.068	0.067	2.384	0.000	3.889	0.145	8.647	0.087	0.000	1.651	0.000	0.200	0.654	16.277	0.000	0.000	0.000	0.052	0.000	3.664	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	4.291E-4	0	0.000	0.658	1.470	0.300	0.000	1.009	16.304	0.000	1.507	0.223	6.312	0.000	0.000	0.000	0.000	0.000	0.000	9.000	5.493	0.047
22	0.645	0.000	0.000	19.040	0.000	0.000	0.000	0.000	2.677	0.000	3.073	14.591	8.149	0.000	0.000	0.628	0.000	0.000	0.000	14.636	0.000	0.000	0.000	1.163	0.000	0.823	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.076	0.300	0.000	0.325	17.301	0.000	0.383	0.000	7.127	0.000	0.000	0.000	0.000	0.000	0.000	9.100	3.353	0.987
23	0.674	0.000	0.000	17.270	0.000	0.000	0.000	0.000	3.149	0.000	2.703	21.798	7.825	0.000	3.888	0.033	0.000	0.000	0.000	13.170	0.000	0.000	0.000	5.472	0.000	0.000	0.000	0.000	0.000	0.000	0.082	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	0.000	17.057	0.000	0.014	0.000	7.603	0.000	0.000	0.000	0.000	0.000	0.000	9.000	2.188	2.354
24	0.703	0.000	0.000	14.912	0.000	0.000	0.000	0.000	3.262	0.078	2.718	27.310	7.179	0.000	10.504	0.000	0.000	0.000	0.000	12.743	0.000	0.000	0.000	8.747	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	0.000	14.786	0.000	0.000	0.000	6.707	0.000	0.000	0.000	0.000	0.000	0.000	9.600	0.049	4.030
25	0.732	0.000	0.000	13.477	0.000	0.000	0.000	0.000	3.025	2.072	1.692	33.763	6.204	0.000	10.818	0.000	0.000	0.000	0.000	10.811	0.000	0.000	0.000	11.888	0.000	0.000	0.000	0.000	0.000	0.000	2.910	0.000	0.177	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	0.000	11.808	0.000	0.000	0.000	5.765	0.000	0.000	0.000	0.000	0.000	0.000	9.000	0.000	6.613
26	0.762	0.000	0.000	11.742	0.000	0.000	0.000	0.000	0.000	4.316	0.573	40.070	5.576	0.000	10.581	0.000	0.000	0.000	0.000	7.956	0.000	0.000	0.000	13.971	0.000	0.000	0.000	0.000	0.000	0.000	4.535	0.000	0.591	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	0.000	9.068	0.000	0.000	0.000	3.902	0.000	0.000	0.000	0.000	0.000	0.000	8.500	0.000	8.879
27	0.791	0.000	0.000	10.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	43.437	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.903	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.260	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000	0.000	5.882	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.900	0.000	0.000
