 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
18	0.527	5.674	11.600	7.800	9.926	12.573	21.550	6.252	0.129	8.624	11.739	4.326	0.799	6.774	2.832	0.252	2.491	8.886	3.139	1.169	3.293	2.428	3.268	8.282	4.135	0.908	3.800	0.000	0.700	5.819	11.679	12.366	11.397	8.362	11.521	2.844	17.904	4.443	0.800	2.186	6.119	4.596	0.000	0.000	10.008
19	0.557	3.714	11.400	8.600	8.748	6.340	15.087	5.395	0.000	5.521	9.151	1.922	0.000	0.278	1.444	0.000	0.703	6.142	1.620	0.472	2.021	1.569	2.764	5.559	2.198	0.027	5.400	0.000	1.000	7.026	9.793	11.007	7.259	5.415	10.865	0.736	19.420	3.600	0.000	0.058	4.540	1.128	0.176	0.000	6.587
20	0.586	0.237	11.300	9.700	6.152	0.346	10.115	3.973	0.000	3.622	6.123	0.000	0.000	0.000	0.152	0.000	0.131	3.908	1.298	0.011	1.240	1.030	2.346	2.607	1.243	0.000	6.600	0.000	4.800	8.648	5.376	9.566	0.154	3.429	9.801	0.000	18.801	3.178	0.000	0.268	2.135	0.000	0.924	0.000	2.798
21	0.615	0.000	10.900	9.700	3.531	0.000	6.043	2.694	0.000	1.225	2.851	0.000	0.000	0.086	0.300	0.000	0.000	1.973	1.353	0.000	0.509	0.085	1.550	0.121	0.185	0.501	8.000	0.000	5.100	8.509	1.099	8.066	0.000	0.135	7.414	0.000	14.519	2.808	0.000	4.867	0.070	0.000	3.398	0.000	0.727
22	0.645	0.088	10.300	9.400	2.000	0.000	1.053	1.412	0.000	0.000	0.448	0.000	0.000	8.305	1.360	0.000	0.000	0.192	0.836	0.000	0.000	0.000	0.767	0.000	0.000	2.724	7.800	0.500	5.700	8.382	2.848	7.584	0.000	0.000	3.948	0.000	10.251	2.210	0.000	8.631	0.000	2.169	5.762	0.188	0.000
23	0.674	3.405	8.500	9.500	0.407	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.000	10.189	4.056	0.000	0.000	0.000	0.098	0.000	0.000	0.000	0.130	0.000	0.000	5.475	7.000	8.700	6.500	8.961	9.502	6.091	0.000	0.000	2.274	0.000	8.301	1.428	0.000	13.370	0.000	6.692	9.064	1.991	0.000
24	0.703	7.296	4.700	10.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.179	8.712	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.951	7.400	11.500	6.400	9.953	15.349	4.243	0.000	0.000	1.539	0.000	5.083	1.013	0.000	18.657	0.000	8.741	11.689	4.348	0.000
25	0.732	9.766	0.000	10.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.851	11.640	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.926	7.100	14.600	6.700	9.614	18.124	0.282	0.161	0.000	0.859	1.719	1.992	0.232	0.000	22.371	0.000	11.112	12.836	7.890	0.000
26	0.762	11.085	0.000	10.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.062	11.496	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.381	6.100	16.900	7.900	9.071	20.278	0.000	2.387	0.000	0.054	3.090	0.000	0.000	0.000	24.562	0.000	13.136	12.521	12.775	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.164	0.000	0.000
