 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
18	0.527	5.358	8.800	3.900	8.883	0.000	0.372	0.360	0.066	0.078	0.000	6.846	2.150	3.528	0.675	0.247	0.000	2.020	1.074	0.581	0.035	0.950	1.088	16.571	0.985	0.290	3.600	0.000	1.800	5.055	5.103	0.000	0.000	2.116	0.000	2.795	4.823	1.584	1.400	0.068	0.609	0.000	6.785	3.086	1.129
19	0.557	2.475	8.500	4.700	6.817	0.000	0.000	0.005	0.000	0.000	0.000	2.623	0.533	0.061	0.241	0.000	0.000	1.422	0.478	0.000	0.000	0.082	0.903	17.254	1.464	0.000	4.000	0.000	2.600	5.902	3.938	0.000	0.000	0.076	0.000	0.436	0.365	1.210	0.000	0.018	0.016	0.156	4.813	2.161	0.547
20	0.586	0.000	7.400	5.800	3.766	0.000	0.000	0.000	0.000	0.000	0.000	0.724	0.050	0.000	1.496	0.000	0.000	0.670	0.149	0.000	0.000	0.000	0.909	18.181	1.924	5.906E-4	4.100	0.000	4.800	7.006	0.762	0.000	0.000	0.000	0.000	4.578E-4	0.000	0.848	0.000	4.789	0.000	0.941	3.237	1.148	0.173
21	0.615	0.000	6.400	5.800	0.948	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.000	0.063	4.081	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.713	17.772	1.573	0.526	4.100	0.000	5.500	6.777	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.105	0.000	9.233	0.218	2.415	4.275	0.062	0.000
22	0.645	0.000	6.000	5.500	0.119	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.116	7.779	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.480	15.014	1.104	1.923	3.800	0.000	6.000	6.272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.842	1.020	4.645	5.631	0.062	0.000
23	0.674	3.336	5.400	5.500	0.000	2.384	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.664	9.762	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.106	11.320	0.798	5.214	3.300	5.700	6.700	6.353	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.208	2.167	6.095	7.170	3.734	0.000
24	0.703	7.939	4.000	6.000	0.000	4.592	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.833	12.481	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.834	0.393	8.649	2.300	8.400	6.400	7.083	0.000	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.000	22.613	4.372	8.275	9.359	8.217	0.000
25	0.732	11.729	0.000	5.900	0.000	6.549	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.181	14.253	0.000	0.000	0.000	0.000	0.058	0.000	0.000	0.000	5.211	0.000	11.421	2.300	11.900	7.000	7.331	0.418	0.000	0.000	0.000	0.000	0.000	4.124	0.000	0.000	23.628	6.421	12.331	11.707	12.060	0.000
26	0.762	15.160	0.000	6.100	0.000	7.683	0.000	0.000	0.000	0.097	0.000	0.000	0.000	9.747	15.679	0.000	0.000	0.000	0.000	1.324	0.000	0.000	0.000	2.724	0.000	11.498	1.000	16.100	8.300	7.301	2.488	0.000	0.000	0.000	0.832	0.000	8.337	0.000	0.000	23.691	9.630	15.280	11.501	15.375	0.000
27	0.791	17.411	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.696	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
