 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	1.832	7.122	86.549	2.895	3.242	1.137	10.373	2
2	0.526	5.745	126.631	0.208	1.218	0.217	0.968	1
3	21.245	8.213	7.778	0.636	1.457	0.556	2.883	10
4	21.785	9.215	0.000	0.004	0.074	0.074	0.029	9
5	20.614	11.074	44.675	0.449	1.349	0.424	1.361	8
6	19.862	11.923	68.141	0.052	0.297	0.221	0.071	7
7	17.197	13.101	7.628	0.446	1.573	0.361	1.203	5
8	13.877	13.756	16.502	0.369	1.325	0.355	1.218	4
9	8.319	18.872	20.260	3.425	6.176	0.706	13.812	3
10	19.615	27.443	47.863	0.528	1.175	0.572	1.456	6
