 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	26.067	2.527	137.929	0.422	1.422	0.378	1.092	26
2	14.538	6.533	101.161	3.741	5.922	0.804	11.441	15
3	5.966	4.182	107.871	0.846	1.622	0.664	1.854	2
4	11.318	3.517	161.765	0.011	0.137	0.103	0.071	5
5	28.658	3.879	147.914	0.194	0.752	0.329	0.395	28
6	11.456	3.706	0.000	0.007	0.102	0.086	0.029	6
7	5.691	5.740	107.637	0.805	3.563	0.288	4.011	1
8	12.657	4.872	101.105	0.930	1.322	0.896	4.111	7
9	13.400	5.199	135.859	0.038	0.257	0.187	4.111	7
10	14.301	6.099	133.052	0.025	0.274	0.116	0.124	20
11	13.473	6.133	23.891	0.052	0.498	0.134	0.383	14
12	13.211	7.613	64.310	0.919	1.716	0.682	1.981	11
13	12.486	7.939	130.303	0.210	0.548	0.489	0.159	8
14	14.782	8.731	90.000	0.012	0.165	0.093	0.029	21
15	12.819	8.746	0.000	0.004	0.074	0.074	0.029	10
16	12.650	10.027	117.730	0.067	0.504	0.169	0.354	9
17	14.293	12.066	73.589	0.503	1.281	0.500	1.007	19
18	13.141	12.266	90.000	0.036	0.220	0.209	0.029	12
19	13.393	12.805	66.088	0.013	0.166	0.099	0.029	12
20	15.957	17.035	131.824	4.845	7.640	0.807	13.729	13
21	6.885	16.368	84.737	0.040	0.264	0.195	0.000	0
22	16.437	18.459	114.699	0.014	0.163	0.107	0.041	22
23	11.105	19.719	169.276	0.021	0.219	0.120	0.029	4
24	13.418	20.846	171.637	0.043	0.283	0.193	0.171	16
25	22.910	23.294	113.912	0.013	0.166	0.099	0.000	0
26	23.887	26.177	117.212	1.206	2.374	0.647	1.851	24
27	24.325	26.164	110.301	0.032	0.215	0.188	1.851	24
28	28.237	29.341	157.101	0.631	1.625	0.494	1.320	27
