 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	10.672	0.835	0.319	0.326	1.035	0.402	1.049	13
2	20.234	2.356	106.607	0.248	1.352	0.234	1.159	17
3	8.525	3.860	66.603	0.533	1.536	0.442	1.922	8
4	7.431	5.098	101.699	0.403	0.860	0.596	0.300	6
5	7.457	5.757	90.000	0.009	0.133	0.090	0.029	7
6	21.182	7.135	79.116	0.360	1.503	0.305	1.093	18
7	8.483	8.739	111.643	0.189	0.509	0.472	0.000	0
8	8.406	10.655	98.132	0.646	1.661	0.495	1.411	9
9	19.437	13.012	61.050	0.240	1.210	0.253	0.932	16
10	10.018	13.330	96.045	0.379	1.392	0.347	0.928	12
11	25.648	13.419	16.058	0.484	1.122	0.549	0.912	19
12	2.327	14.130	50.194	0.011	0.160	0.089	0.041	4
13	1.230	15.811	58.144	0.831	3.060	0.346	2.768	1
14	9.148	18.076	93.566	1.216	2.999	0.516	4.194	11
15	16.451	18.333	37.532	0.294	1.288	0.290	0.934	15
16	13.124	19.730	17.689	0.099	0.782	0.161	0.659	14
17	9.356	21.991	24.937	2.324	5.639	0.525	6.589	5
18	3.333	23.965	5.495	1.054	3.185	0.421	3.253	3
19	1.534	24.498	20.294	0.027	0.203	0.172	0.000	0
